Procedure_Description,CPT_Code,Cash_Price,Gross_Price
SET STENT URET TETHER 6FRX26CM,C2617,$297.00 ,$470.25 
SET STENT URET TETHER 6FRX28CM,C2617,$297.00 ,$470.25 
SET STENT URET TETHER 7FRX22CM,C2617,$297.00 ,$470.25 
SET STENT URET TETHER 7FRX24CM,C2617,$297.00 ,$470.25 
SET STENT URET TETHER 8FRX24CM,C2617,$297.00 ,$470.25 
SET STENT URET TETHER 8FRX26CM,C2617,$297.00 ,$470.25 
SYS CARDIOMEMS HF,C2624,"$39,660.01 ","$62,795.01 "
IMP PROPEL MOMETASON FUROATE,C2625,"$3,582.00 ","$5,671.50 "
IMP PROPEL MOMETASON FUROATE,C2625,"$3,582.00 ","$5,671.50 "
STENT GRAFT ARTC EXTD 23X33MM,C2625,"$8,952.00 ","$14,174.00 "
STENT BLR ZIMMON 10FR 10CM,C2625,$282.00 ,$446.50 
SET URETAL STENT AMPLATZ 8.5FR,C2625,$659.52 ,"$1,044.24 "
STENT DBL J 7.0FR 16CM URET,C2625,$585.31 ,$926.74 
STENT DBL J 8.5FR 16CM URET,C2625,$585.31 ,$926.74 
STENT DRNG URET US 8FRX24CM,C2625,$695.23 ,"$1,100.78 "
STENT GRAFT SYS 16X16X124MM,C9899,"$13,575.01 ","$21,493.76 "
GRAFT STENT 16X10X124MM,C9899,"$13,575.01 ","$21,493.76 "
STENT ENDURANT II 16X20X124MM,C9899,"$13,575.01 ","$21,493.76 "
STENT ENDURANT II 16X20X93MM,C9899,"$13,575.01 ","$21,493.76 "
STENT GRAFT SYS 28X16X145MM,C9899,"$23,940.00 ","$37,905.00 "
STENT GRAFT SYS 16X13X156MM,C9899,"$15,360.00 ","$24,320.00 "
STENT GRAFT 36X14X103MM,C9899,"$23,940.00 ","$37,905.00 "
STENT GRAFT SYS 25X16X145MM,C9899,"$23,940.00 ","$37,905.00 "
STENT GRAFT SYS 16X20X156MM,C9899,"$15,360.00 ","$24,320.00 "
IMP SOLESTA 50-15MG/ML SYR,L8605,"$2,205.01 ","$3,491.26 "
EY PROS SNAP-ON TYPE 1,L8609,"$13,575.01 ","$21,493.76 "
TUBE EAR T SIL 1.10 GOODE,L8613,$124.20 ,$196.65 
TUBE T REUTER BOBBIN,L8613,$177.30 ,$280.73 
KIT PATCH PERF EPIDISC,L8613,$621.89 ,$984.66 
TUBE T REUTER BOBBIN,L8613,$170.40 ,$269.80 
IMP OTOLOGIC TI 3X3X1MM,L8613,"$1,279.06 ","$2,025.17 "
IMP OTOLOGIC TORP 5X3X0.9MM,L8613,"$1,266.14 ","$2,004.73 "
GRAFT VAS STR TUBE 20MMX15CM,L8670,"$1,626.20 ","$2,574.81 "
VLV ARTC FREESTYLE 25MM,L8699,"$13,920.00 ","$22,040.00 "
RNG MA COSE 34MM,L8699,"$6,210.01 ","$9,832.51 "
CONN STR CSF-CATH,L8699,$402.36 ,$637.07 
VLV MITRAL ST. JUDE 31MM,L8699,"$12,609.00 ","$19,964.25 "
VLV MITAL STNDARD CUFF 33MM,L8699,"$12,609.00 ","$19,964.25 "
COUPLER MCR ANASTM 2.5MM,L8699,"$1,560.01 ","$2,470.01 "
VLV MITRAL 27MM STND CUFF,L8699,"$12,609.00 ","$19,964.25 "
VLV ARTC 19MM STND CUFF,L8699,"$12,609.00 ","$19,964.25 "
PROBE IMP DOPPLER FLO STD CUFF,L8699,"$2,205.01 ","$3,491.26 "
IMP INFUSE BONE GRAFT SM,L8699,"$11,415.00 ","$18,073.75 "
IMP INFUSE BONE GRAFT MED,L8699,"$13,575.01 ","$21,493.76 "
IMP INFUSE BONE GRAFT LG II,L8699,"$14,184.00 ","$22,458.00 "
VLV HRT AORTIC 23MM REGENT,L8699,"$13,575.01 ","$21,493.76 "
VALVE MITRAL PERIMOUNT 29MM,L8699,"$13,575.01 ","$21,493.76 "
SYS LQD EMBOLIC TRUFILL N-BCA,L8699,"$12,864.00 ","$20,368.00 "
SYS LQD EMBOLIC TRUFILL N-BCA,C1889,"$12,864.00 ","$20,368.00 "
CATH VNTRCLR EVD ANTBIC,L8699,"$1,379.38 ","$2,184.01 "
VLV MITRAL MODEL 310 25MM,L8699,"$13,575.01 ","$21,493.76 "
VLV MITRAL MODEL 310 29MM,L8699,"$13,575.01 ","$21,493.76 "
VLV MITRAL MODEL 310 31MM,L8699,"$13,575.01 ","$21,493.76 "
VLV MITRAL MODEL 310 33MM,L8699,"$13,575.01 ","$21,493.76 "
RNG ANNULOPLASTY MITRAL 35MM,L8699,"$5,580.00 ","$8,835.00 "
VLV ARTC EPIC SUPRA 25MM,L8699,"$13,624.80 ","$21,572.60 "
VLV ARTC EPIC SUPRA 27MM,L8699,"$13,624.80 ","$21,572.60 "
VLV MITRAL EPIC 29MM,L8699,"$13,624.80 ","$21,572.60 "
VLV MITRAL EPIC 31MM,L8699,"$13,624.80 ","$21,572.60 "
VLV MITRAL EPIC 33MM,L8699,"$13,624.80 ","$21,572.60 "
VLV ARTC HRT PRCDL 23MM,L8699,"$14,148.00 ","$22,401.00 "
VLV ARTC MOSAIC ULTRA 21MM,L8699,"$13,575.01 ","$21,493.76 "
VLV AORTIC MOSAIC CINCH 25MM,L8699,"$13,575.01 ","$21,493.76 "
VLV ARTC HRT PRCDL 27MM,L8699,"$14,148.00 ","$22,401.00 "
VLV ARTC HRT PRCDL 29MM,L8699,"$14,148.00 ","$22,401.00 "
VLV HRT MITRAL MAGNA 25MM,L8699,"$14,148.00 ","$22,401.00 "
IMP MEDPORE 7210,L8699,"$1,560.01 ","$2,470.01 "
IMP SPHERE MEDPOR SST-EZ 20MM,L8699,"$2,534.40 ","$4,012.80 "
RING CONTOUR 3D 32MM,L8699,"$6,210.01 ","$9,832.51 "
IMP PLATE ORBITAL 76X50X.85MM,L8699,"$3,764.99 ","$5,961.23 "
IMP TESTICULAR PROS LG,L8699,"$6,798.00 ","$10,763.50 "
IMP TRANSPHENOIDAL SELLAR-TSI,L8699,"$2,205.01 ","$3,491.26 "
RNG TRICUSPID 30MM PHYSIO,L8699,"$6,210.01 ","$9,832.51 "
LUMBAR X-CORE 2 TI 18X28-41MM,L8699,"$13,575.01 ","$21,493.76 "
DISC MOBI-C CERV 13X15 H5 US,L8699,"$13,455.00 ","$21,303.75 "
VLV ARTC W/ CND 22MMX6.3CM,L8699,"$25,200.00 ","$39,900.00 "
IMP SPNL US STD 15X17 H5,L8699,"$13,455.00 ","$21,303.75 "
IMP MOBI C US H5 15X15MM,L8699,"$13,455.00 ","$21,303.75 "
APPLIER W/ 10 ENDOANCHORS 16FR,L8699,"$13,575.01 ","$21,493.76 "
DVC CERV DTRAX CAGE-B,L8699,"$6,210.01 ","$9,832.51 "
VLV HRT TRANSCATH SAPIEN 23MM,L8699,"$39,660.01 ","$62,795.01 "
VLV HRT TRANSCATH SAPIEN 29MM,L8699,"$39,660.01 ","$62,795.01 "
DISC MOBI-C CERV STD 15X15 H6,L8699,"$13,455.00 ","$21,303.75 "
VLV EVOLUTR TRANS CATH 23MM,L8699,"$39,660.01 ","$62,795.01 "
DISC MOBI-C CERV STD 15X17 H6,L8699,"$13,455.00 ","$21,303.75 "
DVC WATCHMAN LAA CLOSER 21MM,C1889,"$28,560.00 ","$45,220.00 "
DVC WATCHMAN LAA CLOSER 24MM,C1889,"$28,560.00 ","$45,220.00 "
DVC WATCHMAN LAA CLOSER 27MM,C1889,"$28,560.00 ","$45,220.00 "
GRAFT OUTFLOW HEARTMATE III,L8699,"$13,575.01 ","$21,493.76 "
CUF APICAL HEARTMATE III,L8699,"$17,280.00 ","$27,360.00 "
SYS ATRICLIP PRO2 LAA SZ 40MM,L8699,"$10,950.00 ","$17,337.50 "
SYS ATRICLIP PRO2 LAA SZ 45MM,L8699,"$10,950.00 ","$17,337.50 "
STENT EXCLUDER ILIAC 12MMX7CM,L8699,"$8,952.00 ","$14,174.00 "
STENT 23X14.5MMX10CM,L8699,"$24,813.60 ","$39,288.20 "
STENT EXCLUDER16X10MM 7CM,L8699,"$8,952.00 ","$14,174.00 "
VLV HRT AORTIC PERICARD 27MM,L8699,"$28,800.00 ","$45,600.00 "
VLV HRT ULTA TRANSCATH 20MM,L8699,"$39,660.01 ","$62,795.01 "
VLV HRT ULTA TRANSCATH 23MM,L8699,"$39,660.01 ","$62,795.01 "
VLV HRT ULTA TRANSCATH 26MM,L8699,"$39,660.01 ","$62,795.01 "
VLV HRT ULTA TRANSCATH 29MM,L8699,"$39,660.01 ","$62,795.01 "
VLV EVOLUTPRO 26MM,L8699,"$39,660.01 ","$62,795.01 "
SPACER FRA ANT NRW 13MM,L8699,"$7,257.78 ","$11,491.49 "
VLV PROGAV 2.0 W/ PED PRECHMBR,L8699,"$6,794.79 ","$10,758.42 "
DVC VARILIFT LX TLIF 12X28MM,L8699,"$13,575.01 ","$21,493.76 "
ROD LP X-CON ADJT 5.5X45-65MM,L8699,"$2,520.00 ","$3,990.00 "
VLV TRANSCATHETER ARTC 29MM,L8699,"$39,660.01 ","$62,795.01 "
CAGE XL 8X18X50MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
IMP SYS LFT VNTRCLR ASSIST DVC,L8699,"$119,910.00 ","$189,857.50 "
VLV EVOLUT PROTM  23MM,L8699,"$39,660.01 ","$62,795.01 "
IMP TCS SPINE 6DEG 7MM NANO,L8699,"$10,650.00 ","$16,862.50 "
IMP TCS SPINE 6DEG 7MM LG NANO,L8699,"$10,650.00 ","$16,862.50 "
IMP BASE TI 15DEG 10X42X30MM,L8699,"$13,575.01 ","$21,493.76 "
SPACER 10X22X60MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
STENT EXCLUDER ILIAC 7CMX8-9MM,L8699,"$8,952.00 ","$14,174.00 "
IMP NANOLOCK STD 12DEG 12MM,L8699,"$16,920.00 ","$26,790.00 "
STENT EXCLUDER 12MMX14CM,L8699,"$12,714.00 ","$20,130.50 "
IMP TCS SPINE 6DEG 6MM,L8699,"$10,650.00 ","$16,862.50 "
IMP NANO LG 12DEG 13MM,L8699,"$16,920.00 ","$26,790.00 "
VLV INSPIRIS RESILA 23MM,L8699,"$18,420.00 ","$29,165.00 "
VLV INSPIRIS RESILA 25MM,L8699,"$18,420.00 ","$29,165.00 "
VLV INSPIRIS RESILA 27MM,L8699,"$18,420.00 ","$29,165.00 "
VLV INSPIRIS RESILA 29MM,L8699,"$18,420.00 ","$29,165.00 "
DVC VARILIFT LX 14X28MM,L8699,"$13,575.01 ","$21,493.76 "
VALVE AORTIC AVALUS 27MM,L8699,"$13,575.01 ","$21,493.76 "
IMP NANOLOCK XL 7DEG 13MM,L8699,"$16,920.00 ","$26,790.00 "
KIT1 SGC0301 1 CDS0601 NTR/XTR,L8699,"$39,660.01 ","$62,795.01 "
SPACER 10X22X55MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
VLV HRT TRANSCATH SAPIEN3 26MM,L8699,"$39,660.01 ","$62,795.01 "
IMP TLX 10X11X26MM 15 DEG,L8699,"$13,575.01 ","$21,493.76 "
IMP TLX 11X11X26MM 15 DEG,L8699,"$13,575.01 ","$21,493.76 "
IMP TLX 7X11X31MM 15 DEG,L8699,"$13,575.01 ","$21,493.76 "
IMP TLX 8X11X26MM 15 DEG,L8699,"$13,575.01 ","$21,493.76 "
CAGE IMP XCORE 2 TI 16X23-35MM,L8699,"$13,575.01 ","$21,493.76 "
IMP NANOLOCK 7DEG LG 11MM,L8699,"$16,920.00 ","$26,790.00 "
SPACER TI 7X38X28 10DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER ALIF SW 9X38X38 10 DEG,L8699,"$11,808.00 ","$18,696.00 "
IMP CAGE XCORE 2 TI 16X18-25MM,L8699,"$13,575.01 ","$21,493.76 "
SPACER 10X18X55MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
SPACER 10X18X50MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
SPACER 12X18X55MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
SPACER 12X18X60MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
IMP TCS NANOLOCK 6DEG 7MM SM,L8699,"$10,650.00 ","$16,862.50 "
CONN OPEN OFFSET 30MM,L8699,"$2,520.00 ","$3,990.00 "
SPACER 90 TI 8X22X50MM 10DEG,L8699,"$11,808.00 ","$18,696.00 "
VLV PRO SA SHUNT ADJT OD18MM,L8699,"$9,425.52 ","$14,923.74 "
VLV ENDOBL ZEPHYR 4.0-LP SHRT,L8699,"$6,600.00 ","$10,450.00 "
VLV ENDOBL ZEPHYR 4.0,L8699,"$6,600.00 ","$10,450.00 "
VLV ENDOBL ZEPHYR 5.5,L8699,"$6,600.00 ","$10,450.00 "
CAGE CERV 10DEG 8X15X12MM,L8699,"$4,752.00 ","$7,524.00 "
IMP CAGE-SB CERV CAVUX,L8699,"$6,210.01 ","$9,832.51 "
SPACER 90 TI 8X22X55MM 10DEG,L8699,"$11,808.00 ","$18,696.00 "
IMP BASE 15DEG 10X34X24MM,L8699,"$13,575.01 ","$21,493.76 "
SPACER 90 TI 8X22X45MM 10DEG,L8699,"$11,808.00 ","$18,696.00 "
SYS MITRACLIP G4,L8699,"$39,660.01 ","$62,795.01 "
SPACER 10.5X18 6MM 7DEG,L8699,"$4,860.00 ","$7,695.00 "
SPACER LIF 8X22X50MM 15DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER ALIF TI 8X38X28MM 30DEG,L8699,"$11,808.00 ","$18,696.00 "
CORE X-CORE 2 TI 18X21-27MM,L8699,"$13,575.01 ","$21,493.76 "
ALGRFT PRIMAGEN  ADV 5CC,L8699,"$4,518.00 ","$7,153.50 "
SPACER ALIF 10DEG 9X42X30MM,L8699,"$12,300.00 ","$19,475.00 "
VLV EVPROPLUS-23US,L8699,"$39,660.01 ","$62,795.01 "
VLV EVPROPLUS-34US,L8699,"$39,660.01 ","$62,795.01 "
SPACER TI 10X22X50MM 0DEG,L8699,"$12,300.00 ","$19,475.00 "
IMP BASE TI 20DEG 10X38X28MM,L8699,"$13,575.01 ","$21,493.76 "
VLV EVPROPLUS-26US,L8699,"$39,660.01 ","$62,795.01 "
SYS VLV REPRISE LOTUS EDGE25MM,L8699,"$39,660.01 ","$62,795.01 "
SYS VLV REPRISE LOTUS EDGE27MM,L8699,"$39,660.01 ","$62,795.01 "
VLV THV SAPIEN 3 ULTRA 20MM,L8699,"$39,660.01 ","$62,795.01 "
VLV THV SAPIEN 3 ULTRA 23MM,L8699,"$39,660.01 ","$62,795.01 "
VLV THV SAPIEN 3 ULTRA 26MM,L8699,"$39,660.01 ","$62,795.01 "
STENT THOR 28X28MMX15CM 20FR,L8699,"$39,660.01 ","$62,795.01 "
SPACER TI 8X22X45MM 0DEG,L8699,"$12,300.00 ","$19,475.00 "
SPACER LIF POROUS TI 8X22X60MM,L8699,"$12,300.00 ","$19,475.00 "
IMP CRAN M PEEK PRIORITY,L8699,"$39,660.01 ","$62,795.01 "
CAP END TI 0DEG 16X16X40MM,L8699,"$5,130.00 ","$8,122.50 "
SPACER XLW 12X22X60MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
VLV EB ZEPHYR 5.5 LP,L8699,"$6,600.00 ","$10,450.00 "
BND ANNULPLSTY 36MM OD43.6MM,L8699,"$6,210.01 ","$9,832.51 "
SPACER ALIF SW 7X38X28MM 10DEG,L8699,"$12,300.00 ","$19,475.00 "
SPACER XLW 12X22X55MM 10DEG,L8699,"$13,575.01 ","$21,493.76 "
IMP HTR-PEKK STEVENS BI FR,L8699,"$20,400.00 ","$32,300.00 "
ALGRFT LORDOTIC 7DEG 11X14X7MM,L8699,"$2,718.00 ","$4,303.50 "
SPACER 90 TI 6X22X55MM 15DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER TI 10X22X55MM 0DEG,L8699,"$12,300.00 ","$19,475.00 "
SET INTRD EDGE ARTC VLV 25MM,L8699,"$39,660.01 ","$62,795.01 "
SET INTRD EDGE ARTC VLV 27MM,L8699,"$39,660.01 ","$62,795.01 "
VLV HRT PTCDL TRANSCATH SZ 23,L8699,"$42,000.00 ","$66,500.00 "
VLV HRT PTCDL TRANSCATH SZ 27,L8699,"$42,000.00 ","$66,500.00 "
DVC VARILIFT LX 13X24MM,L8699,"$13,575.01 ","$21,493.76 "
SPACER ALIF SW 10DEG 9X38X28MM,L8699,"$12,300.00 ","$19,475.00 "
ALGRFT PRIMAGEN ADV 15CC,L8699,"$12,516.00 ","$19,817.00 "
SPACER 10X16 6MM 7DEG,L8699,"$4,860.00 ","$7,695.00 "
SPACER 10X16 7MM 12DEG,L8699,"$4,860.00 ","$7,695.00 "
CORE TI 18X24-33MM AUTOLOCK,L8699,"$13,575.01 ","$21,493.76 "
SYS TRIPCLIP 1SGC+2CDS,L8699,"$39,660.01 ","$62,795.01 "
SYS TRIPCLIP 1SGC+4CDS,L8699,"$39,660.01 ","$62,795.01 "
IMP CAGE-X CERV CAVUX,L8699,"$6,210.01 ","$9,832.51 "
VLV IN CTG SVS 9MM,L8699,"$7,800.00 ","$12,350.00 "
VLV IN CTG SVS 7MM,L8699,"$7,800.00 ","$12,350.00 "
IMPLANT CRANIAL CUSTOM,L8699,"$28,800.00 ","$45,600.00 "
DVC PASCAL PIVOTAL CLIN TRIAL,L8699,"$39,660.01 ","$62,795.01 "
SPACER TI 10X22X45MM 0DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER TI 12X18X45MM 0DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER TI 8X18X45MM 0DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER ALIF SW 9X38X28MM 15DEG,L8699,"$11,808.00 ","$18,696.00 "
SPACER 14X16X7MM 6DEG,L8699,"$2,538.00 ","$4,018.50 "
SPACER 14X16X6MM 6DEG,L8699,"$2,538.00 ","$4,018.50 "
IMP CRANIAL RT FT SP PA TE,L8699,"$24,000.00 ","$38,000.00 "
IMP MEMB AMNIOTIC ALGRFT 2X3CM,V2790,"$2,205.01 ","$3,491.26 "
IMP MEMB AMBIO 5 GRAFT 4X4CM,V2790,"$2,289.60 ","$3,625.20 "
IMP MEMB AMNIOTIC 1.5X2CM,V2790,"$1,596.00 ","$2,527.00 "
IMP MEMB AMBIO 5 GRAFT 1.5X2CM,V2790,"$1,932.00 ","$3,059.00 "
IMP MEMB AMBIO5 GRAFT 2X3CM,V2790,"$2,205.01 ","$3,491.26 "
GRAFT MEMB AMNIOTIC 2.0X1.5CM,V2790,"$2,480.40 ","$3,927.30 "
SYS INTERLOCK 2D HELICAL 4X15,C1889,"$1,560.01 ","$2,470.01 "
TUBE CHEST THAL QUICK 10FR,C1889,$648.00 ,"$1,026.00 "
ELECT STP 8 PLATINUM 10MM STRL,C1889,"$2,710.80 ","$4,292.10 "
COIL VORTEX 18 DMND 2X5MM,C1889,$450.01 ,$712.51 
COIL MCR DMND 2MMX6MM,C1889,$450.01 ,$712.51 
FELT TEF STRL 4X4,C1889,$450.01 ,$712.51 
APPLC MDCL ADHV,C1889,$180.00 ,$285.00 
STPLR INT 60-4.0 PROXIMATE,C1889,"$1,485.84 ","$2,352.58 "
SHUNT VNTRCLR CATH,C1889,"$2,976.70 ","$4,713.10 "
TRAY CHEST TUBE 24FR,C1889,$787.20 ,"$1,246.40 "
COIL PLATNUM 6X60X.018,C1889,$401.10 ,$635.08 
COIL VORTEX 3/5/35/035,C1889,$338.22 ,$535.52 
COIL VORTEX 3/7/67/035,C1889,$338.22 ,$535.52 
ELECT STP 4 PLATINUM 10MM STRL,C1889,"$1,986.60 ","$3,145.45 "
TRAY CHEST TUBE 28FR,C1889,$808.42 ,"$1,279.99 "
SYR MICROSPHERE 2ML 500-700,C1889,"$1,087.68 ","$1,722.16 "
CATH FIBERD PLANTINUM STRAIGHT,C1889,$280.50 ,$444.13 
CONN LAT CLD 10MM,C1889,"$1,560.01 ","$2,470.01 "
RNG ANNULOPLASTY TR MC3 32MM,L8699,"$6,210.01 ","$9,832.51 "
SCREW CANLT 7.0X85 32MM THR SS,C1713,$907.25 ,"$1,436.48 "
DVC MICROSPHERE 2ML 100-300UM,C1889,"$6,030.00 ","$9,547.50 "
SYR PARTCL EMBOLIC 2ML 700-900,C1889,"$1,166.40 ","$1,846.80 "
SYS INTERLOCK 2D HELICAL 3X6,C1889,"$1,560.01 ","$2,470.01 "
SYS INTERLOCK 2D HELICAL 5X15,C1889,"$1,560.01 ","$2,470.01 "
SYS INTERLOCK 2D HELICAL 8X20,C1889,"$1,560.01 ","$2,470.01 "
SYS INTERLOCK VORTX 2/3X2.3CM,C1889,"$1,560.01 ","$2,470.01 "
SYS INTERLOCK VORTX .5MMX4.1CM,C1889,"$1,560.01 ","$2,470.01 "
SYS INTERLOCK VORTX 2/6MMX8CM,C1889,"$1,560.01 ","$2,470.01 "
CVR LOW PROFILE 10MM,C1889,"$1,008.58 ","$1,596.91 "
CVR LOW PROFILE 10MM,C1713,"$1,008.58 ","$1,596.91 "
CVR LOW PROFILE 14MM,C1713,"$1,008.58 ","$1,596.91 "
CVR LOW PROFILE 14MM,C1889,"$1,008.58 ","$1,596.91 "
CVR LOW PROFILE 20MM,C1889,"$1,113.65 ","$1,763.28 "
GRAFT ARTC VLV 29MM,C1889,"$14,731.20 ","$23,324.40 "
SHUNT INTRACRNRY CLRVIEW 1.50,C1889,$450.01 ,$712.51 
SHUNT INTRACRNRY CLRVIEW 1.75,C1889,$450.01 ,$712.51 
SHUNT INTRACRNRY CLRVIEW 2.00,L8699,$450.01 ,$712.51 
SHUNT INTRACRNRY CLRVIEW 2.25,C1889,$450.01 ,$712.51 
SHUNT INTRACRNRY CLRVIEW 2.50,C1889,$450.01 ,$712.51 
BAND ANNULO FUTURE 638B 32MM,C1889,"$5,940.00 ","$9,405.00 "
SYR EMBOSPHERE 300-500 2ML,C1889,"$1,166.40 ","$1,846.80 "
SHUNT INTRACRNRY CLRVIEW 1.25,L8699,$450.01 ,$712.51 
CLIP QUICK DISP 2 135LA 11MM,C1889,$362.70 ,$574.28 
CLIP 11.5 STR 12MM,C1889,"$2,045.40 ","$3,238.55 "
CLIP 13.5 SIDEANDG 12MM,C1889,"$1,675.80 ","$2,653.35 "
CLIP 8.5 FEN 3.5 ANDG 5MM,C1889,"$1,675.80 ","$2,653.35 "
CLIP 9.5 FEN 5.0 ANDG 5MM,C1889,"$1,675.80 ","$2,653.35 "
CLIP 11.0 MORE ANDG UP 11MM,C1889,"$1,986.60 ","$3,145.45 "
CLIP MINI 7CRVD SLIM TIP 6.7MM,C1889,"$1,675.80 ","$2,653.35 "
CLIP MINI 10.0 BAYO 7MM,C1889,"$1,986.60 ","$3,145.45 "
PROBE ELECT 10 DPT 5MM SPACING,C1889,"$2,003.40 ","$3,172.05 "
COIL EMBOL MR EYE 35X15X15,C1889,$480.58 ,$760.91 
RING DURAN 35MM,C1889,"$5,580.00 ","$8,835.00 "
SHUNT UNI STRATA II REG V13,C1889,"$13,147.08 ","$20,816.21 "
SYS HYDROCOIL AZUR 4MMX2CM,C1889,$673.20 ,"$1,065.90 "
SYS HYDROCOIL AZUR 3MMX2CM,C1889,$673.20 ,"$1,065.90 "
RNG ANNULOPLASTY PHYS-II 30MM,L8699,"$6,210.01 ","$9,832.51 "
RNG ANNULOPLASTY PHYS-II 38MM,L8699,"$6,210.01 ","$9,832.51 "
SYS ENHANCED SORBAFIX 15 SHOT,C1889,"$1,560.01 ","$2,470.01 "
CTG ESOPHYX2 7.5MM,C1889,"$1,890.00 ","$2,992.50 "
ROD NS CRVD 40MM,C1889,$840.00 ,"$1,330.00 "
ROD NS CRVD 35MM,C1889,$840.00 ,"$1,330.00 "
TISS CRBNLD 30X9MM,C1889,"$13,500.00 ","$21,375.00 "
ELECT GRID 8X8 64-CONTACT,C1889,"$5,112.00 ","$8,094.00 "
FILLER BONE 10.0CC,C1889,"$2,907.00 ","$4,602.75 "
FILLER BONE 30.0CC,C1889,"$6,502.50 ","$10,295.63 "
BLOCK BONE 10MM,C1889,"$1,560.01 ","$2,470.01 "
SPACER LORDOTIC ZERO 7MM STRL,L8699,"$6,300.00 ","$9,975.00 "
PLG II VAS AMPLATZER 6X6MM,C1889,"$2,995.20 ","$4,742.40 "
PLG II VAS AMPLATZER 8X7MM,C1889,"$2,995.20 ","$4,742.40 "
IMP SPINE ENDOSKELETON SM,C1889,"$2,880.00 ","$4,560.00 "
BAND ANNULOPLASTY ATS 34MM,C1889,"$7,350.00 ","$11,637.50 "
IMP SYS PLATE 16X28MM 16D,C1889,"$10,766.25 ","$17,046.56 "
IMP FUSION DVC 6DEG 7MM MED,C1889,"$2,880.00 ","$4,560.00 "
COIL EMBOL 7CMX10MM PLATINUM,C1889,$507.26 ,$803.17 
KIT -LD ANCHORING SLV PCNG,C1889,$150.00 ,$237.50 
BEAD MICROSPHERE 2ML 70-150UM,C1889,"$7,245.00 ","$11,471.25 "
BEAD MICROSPHERE 2ML 100-300UM,C1889,$480.00 ,$760.00 
CAP END X-CORE 2  LOKG SCREW,C1889,$720.00 ,"$1,140.00 "
CVR BUR -H 14MM,C1889,"$1,560.01 ","$2,470.01 "
KIT TEMPLATE CRANIECTOMY,C1889,"$1,575.00 ","$2,493.75 "
SYS INTERLOCK COIL 4MMX10CM,C1889,"$1,595.16 ","$2,525.67 "
PLG 4 VAS AMPLATZER 6MM,C1889,"$3,420.00 ","$5,415.00 "
PLG 4 VAS AMPLATZER 8MM,C1889,"$3,420.00 ","$5,415.00 "
SYS INTERLOCK COIL 6MMX20CM,C1889,"$2,205.01 ","$3,491.26 "
SYS INTERLOCK COIL 15MMX40CM,C1889,"$2,880.00 ","$4,560.00 "
CAP END X-CORE 2 TI 18X18X40MM,C1889,"$5,130.00 ","$8,122.50 "
PLG 4 VAS AMPLATZER 5MM,C1889,"$3,420.00 ","$5,415.00 "
VLV HUD CTG SYS 6MM,C1889,"$2,205.01 ","$3,491.26 "
VLV HUD CTG SYS 7MM,C1889,"$2,205.01 ","$3,491.26 "
CAP END X-CORE MINI TI 17X14MM,C1889,"$4,071.60 ","$6,446.70 "
CAGE XCORE MINI 17X24X14MM,C1889,"$13,221.00 ","$20,933.25 "
DVC VLV RESER W/ CATH 35CM,C1889,"$1,841.45 ","$2,915.63 "
SHUNT VLV ASSISTANT 10,C1889,"$4,734.07 ","$7,495.61 "
SYS LQD EMBOLIC ONYX 18,C1889,"$7,047.00 ","$11,157.75 "
SYS LQD EMBOLIC ONYX 34,C1889,"$7,047.00 ","$11,157.75 "
PLUG VASC MICRO 3.0-5MM,C1889,"$6,210.01 ","$9,832.51 "
SHUNT VLV ASSISTANT 15,C1889,"$4,734.07 ","$7,495.61 "
SHUNT VLV ASSISTANT 25,C1889,"$4,734.07 ","$7,495.61 "
PLUG POL DEROTATION TI 5.5MM,C1889,$300.00 ,$475.00 
COIL HELIX FIBERED 12MM X 30CM,C1889,"$2,205.01 ","$3,491.26 "
COIL HELIX FIBERED 14MM X 30CM,C1889,"$2,205.01 ","$3,491.26 "
DVC PIPELINE EMBOL 4.50MMX14MM,C1889,"$34,128.00 ","$54,036.00 "
COIL NYLON HELIX 10MMX30CM,C1889,"$2,205.01 ","$3,491.26 "
COIL NYLON HELIX 8MMX30CM,C1889,"$2,205.01 ","$3,491.26 "
COIL NYLON HELIX 7MMX30CM,C1889,"$2,205.01 ","$3,491.26 "
COIL NYLON HELIX 6MMX20CM,C1889,"$2,205.01 ","$3,491.26 "
COIL NYLON HELIX 2MMX4CM,C1889,"$2,205.01 ","$3,491.26 "
CLIP STRG CRVD TI 7MM,C1889,"$1,759.80 ","$2,786.35 "
IMP LORDOTIC 7DEG LG 10MM,C1889,"$13,575.01 ","$21,493.76 "
