CPT_Code,Procedure_Description,Cash_Price,Gross_Price
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED FULLY THREADED LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 125MM,788.97,788.97
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET 6.5 X 55MM,799.476,799.476
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED FULLY THREADED LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 20MM,788.97,788.97
HCPCS C1713,SCREW BONE STAINLESS STEEL CANCELLOUS CANNULATED 32MM THREAD LARGE HEXAGONAL SOCKET FLAT HEAD 7 X 75MM,788.97,788.97
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED 32MM THREAD LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 125MM,820.522,820.522
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED 32MM THREAD LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 115MM,788.97,788.97
HCPCS C1713,SCREW BONE STAINLESS STEEL CANCELLOUS CANNULATED 32MM THREAD LARGE HEXAGONAL SOCKET FLAT HEAD 7 X 95MM,788.97,788.97
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED 32MM THREAD LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 90MM,788.97,788.97
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED 32MM THREAD LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 85MM,820.522,820.522
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING 46 X 4.0MM,106.267,106.267
HCPCS C1713,SCREW BONE CANCELLOUS STAINLESS STEEL CANNULATED FULLY THREADED LG HEXAGONAL SOCKET FLAT HEAD 7.0 X 95MM,788.97,788.97
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 28 X 3.5MM,652.5875,652.5875
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED FULL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 22MM,652.5875,652.5875
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 50 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 46 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 42MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 40 X 3.5MM,652.5875,652.5875
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING 54.0 X 4.0MM,106.267,106.267
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 34 X 3.5MM,652.5875,652.5875
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED FULL THREAD HEXAGONAL SOCKET FLAT HEAD 32 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 12 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 10 X 3.5MM,652.5875,652.5875
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTEX PELVIC SELF TAPPING HEXAGONAL SOCKET FLAT HEAD 3.5 X 140MM,343.74,343.74
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTEX SELF TAPPING HEXAGONAL SOCKET FLAT HEAD 3.5 X 125MM,115.7105,115.7105
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTEX SELF TAPPING HEXAGONAL SOCKET FLAT HEAD 3.5 X 120MM,115.7105,115.7105
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 10 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL CANNULATED PARTIAL THREAD HEXAGONAL SOCKET FLAT HEAD 38 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 44MM,652.5875,652.5875
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING NONSTERILE 44.0 X 4.0MM,110.517,110.517
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING 42 X 4.0MM,106.267,106.267
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING 36 X 4.0MM,110.517,110.517
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING 34 X 4.0MM,106.267,106.267
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING NONSTERILE 32.0 X 4.0MM,110.517,110.517
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING 30 X 4.0MM,110.517,110.517
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED FULL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 24MM,652.5875,652.5875
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 46MM,652.5875,652.5875
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET FLAT HEAD 30 X 3.5MM,652.5875,652.5875
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET FLAT HEAD 42 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 40MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET FLAT HEAD 38 X 3.5MM,627.4955,627.4955
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL FULL THREAD HEXAGONAL SOCKET 36 X 3.5MM,652.5875,652.5875
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED FULL THREAD HEXAGONAL SOCKET FLAT HEAD 3.5 X 34MM,652.5875,652.5875
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED SELF DRILLING TAPPING FULL THREAD LARGE HEXAGONAL SOCKET FLAT HEAD 7.3 X 165MM,768.74,768.74
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING NONSTERILE 24.0 X 4.0MM,110.517,110.517
HCPCS C1713,PLATE FIBULA LCP STAINLESS STEEL 6 HOLE DISTAL LATERAL LEFT 2.7-3.5MM X 112MM,1375.572,1375.572
HCPCS C1713,PLATE BONE STAINLESS STEEL LC-DCP CUBOID 10 HOLE 2.4 X 66MM,976.0975,976.0975
HCPCS C1776,COMPONENT FEMORAL KNEE NEXGEN LPS PROLONG FLEX PRECOAT RIGHT SIZE F,8032.5,8032.5
HCPCS C1713,SCREW BONE ASCENT LE MULTIAXIAL TITANIUM PEDICLE 3.5 X 12MM,2088.45,2088.45
HCPCS C1713,SCREW BONE BIODUR 108 ALLOY CANNULATED SELF DRILLING SELF TAPPING FULL THREAD NONSTERILE 3.5 X 55MM,551.3015,551.3015
HCPCS C1713,SCREW BONE BIODUR 108 ALLOY CANNULATED SELF DRILLING SELF TAPPING NONSTERILE 60 X 3.5MM,551.3015,551.3015
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED SELF DRILLING TAPPING FULL THREAD LARGE HEXAGONAL SOCKET FLAT HEAD 7.3 X 155MM,768.74,768.74
HCPCS C1713,PLATE BONE LCP STAINLESS STEEL META VOLAR EXTRA ARTICULAR 7 HOLE SHAFT LEFT DISTAL RADIUS STERILE 125MM,3305.3865,3305.3865
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY PTA OVER THE WIRE PERIPHERAL 2.00 X 9MM X 90CM,3187.5,3187.5
HCPCS C1713,SCREW BONE HALLMARK TITANIUM LOCKING DOMED NONSTERILE 3MM,393.975,393.975
HCPCS C1713,SCREW BONE LEIBINGER UNIVERSAL 2 TITANIUM LOCKING PIN CROSS NONSTERILE DISPOSABLE 2.0 X 4MM,402.645,402.645
HCPCS C1776,STEM TIBIAL KNEE NEXGEN TIVANIUM EXTENSION OFFSET STERILE 11 X 100 X 145MM,3723.867,3723.867
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED PERIARTICULAR LOCKING NONSTERILE 14 X 3.5MM,321.64,321.64
HCPCS C1769,GUIDEWIRE BONE STAINLESS STEEL NONSTERILE 1.25 X 150MM,116.739,116.739
HCPCS C1713,SCREW BONE CORTICAL TITANIUM LOCKING STERILE 5 X 54MM,650.6325,650.6325
HCPCS C1713,PLATE BONE LCP STAINLESS STEEL STRAIGHT 8 HOLE NONSTERILE 2 X 59MM,704.514,704.514
HCPCS C1876,SYSTEM STENT VASCULAR WINGSPAN NITINOL HYDROPHILIC COATED SELF EXPANDING OTW NONSTERILE DISPOSABLE 15 X 2.5MM,19380,19380
HCPCS C1713,SCREW BONE TENODESIS LATEX FREE BIOCOMPOSITE STERILE DISPOSABLE 15 X 4.75MM,937.125,937.125
HCPCS C1713,ROD SPINE THORACOLUMBAR POSTERIOR PREBENT TITANIUM DUAL BALL SPHERX DBR II 6.25 X 50MM,938.4,938.4
HCPCS C1713,ROD SPINE THORACOLUMBAR POSTERIOR PREBENT TITANIUM DUAL BALL SPHERX DBR II 6.25 X 40MM,938.4,938.4
HCPCS C1713,ROD SPINE SPHERX II DBR TITANIUM THORACOLUMBAR FIXED PREBENT 5.5 X 120MM,1068.025,1068.025
HCPCS C1876,STENT VASCULAR WINGSPAN HUMANITARIAN DEVICE NITINOL HYDROPHILIC COATED SELF EXPANDING OVER THE WIRE 4.5 X 20MM,19380,19380
HCPCS C1876,STENT VASCULAR WINGSPAN HUMANITARIAN DEVICE NITINOL HYDROPHILIC COATED SELF EXPANDING OVER THE WIRE 4 X 20MM,19380,19380
HCPCS C1713,SCREW BONE COMPRESSION ACUTRAK 2 MINI TITANIUM CANNULATED FULL THREAD HEADLESS STERILE 26MM,1175.55,1175.55
HCPCS C1876,SYSTEM STENT VASCULAR WINGSPAN NITINOL HYDROPHILIC COATED SELF EXPANDING OTW NONSTERILE DISPOSABLE 15 X 3MM,19380,19380
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY PTA OVER THE WIRE PERIPHERAL 1.50 X 9MM X 90CM,3187.5,3187.5
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY PTA OVER THE WIRE PERIPHERAL 3.50 X 9MM X 90CM,3187.5,3187.5
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY PTA OVER THE WIRE PERIPHERAL 3.00 X 9MM X 90CM,3187.5,3187.5
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY PTA OVER THE WIRE PERIPHERAL STERILE DISPOSABLE 2.75 X 9MM X 90CM,3187.5,3187.5
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY 9MMX2.5MM PTA OVER THE WIRE PERIPHERAL STERILE DISPOSABLE,3302.25,3302.25
HCPCS C1725,CATHETER ANGIOPLASTY GATEWAY PTA OVER THE WIRE PERIPHERAL 2.25 X 9MM X 90CM,3187.5,3187.5
HCPCS C1713,SCREW BONE CORTICAL TITANIUM LOCKING SELF TAPPING 46 X 5MM,560.286,560.286
HCPCS C1876,SYSTEM STENT VASCULAR WINGSPAN NITINOL HYDROPHILIC COATED SELF EXPANDING OTW NONSTERILE DISPOSABLE 20 X 3.5MM,19380,19380
HCPCS C1713,SCREW BONE CONICAL STAINLESS STEEL SELF TAPPING FULLY THREADED T15 STARDRIVE RECESS 65 X 3.5MM,435.438,435.438
HCPCS C1713,SCREW BONE CORTICAL TITANIUM LOCKING SELF TAPPING 52 X 5MM,560.286,560.286
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTEX SELF TAPPING FULL THREAD LG HEXAGONAL SOCKET 4.5 X 135MM,143.5735,143.5735
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTEX SELF TAPPING FULL THREAD LG HEXAGONAL SOCKET 4.5 X 120MM,143.5735,143.5735
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTICAL SELF TAPPING LG HEX 4.5 X 160MM,148.0105,148.0105
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL FULL THREAD LG HEXAGONAL SOCKET NONSTERILE DISPOSABLE 4.5 X 120MM,110.517,110.517
HCPCS C1713,SCREW BONE CONICAL STAINLESS STEEL SELF TAPPING PARTIALLY THREADED T15 STARDRIVE RECESS 70 X 3.5MM,418.6845,418.6845
HCPCS C1713,SCREW BONE LAG STAINLESS STEEL DHS DCS ONE STEP THREAD STERILE 12.7 X 22 X 85MM,980.951,980.951
HCPCS C1713,SCREW BONE CONICAL STAINLESS STEEL SELF TAPPING FULLY THREADED T15 STARDRIVE RECESS 80 X 3.5MM,435.438,435.438
HCPCS C1713,SCREW BONE LAG STAINLESS STEEL DHS DCS ONE STEP THREAD STERILE 12.7 X 22 X 90MM,980.951,980.951
HCPCS C1713,SCREW BONE LCP STAINLESS STEEL LOCKING SELF TAPPING STARDRIVE RECESS 46 X 3.5MM,400.979,400.979
HCPCS C1713,SCREW BONE STAINLESS STEEL COMPRESSION LOCKING SELF TAPPING FULL THREAD T15 STARDRIVE RECESS 3.5 X 52MM,400.979,400.979
HCPCS C1713,SCREW BONE STAINLESS STEEL LOCKING SELF TAPPING FULL THREAD STARDRIVE RECESS NONSTERILE 3.5 X 35MM,385.56,385.56
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL SELF DRILLING SELF TAPPING THREAD LG HEXAGONAL SOCKET NONSTERILE 7.3 X 32 X 170MM,768.74,768.74
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL SELF DRILLING SELF TAPPING THREAD LG HEXAGONAL SOCKET NONSTERILE 7.3 X 32 X 160MM,799.476,799.476
HCPCS C1713,SCREW BONE CORTEX STAINLESS STEEL SELF TAPPING HEXAGONAL SOCKET FLAT HEAD STANDARD 85.0 X 3.5MM,105.3745,105.3745
HCPCS C1713,SCREW BONE CONICAL STAINLESS STEEL SELF TAPPING PARTIALLY THREADED T15 STARDRIVE RECESS 65 X 3.5MM,418.6845,418.6845
HCPCS C1713,SCREW BONE CORTEX TITANIUM SELF TAPPING CRUCIFORM STARDRIVE RECESS NONSTERILE 1.5 X 9MM,224.4935,224.4935
HCPCS C1713,SCREW BONE STAINLESS STEEL CANNULATED SELF DRILLING TAPPING FULL THREAD LARGE HEXAGONAL SOCKET FLAT HEAD 7.3 X 160MM,768.74,768.74
HCPCS C1713,SCREW BONE CORTICAL TITANIUM LOCKING SELF TAPPING 34 X 5MM,560.286,560.286
HCPCS C1713,SCREW BONE CORTICAL TITANIUM LOCKING SELF TAPPING 32 X 5MM,560.286,560.286
HCPCS C1713,NAIL BONE CANNULATED TROCHANTERIC FIXATION STERILE RIGHT TITANIUM 135DEG 12 X 420MM,3648.7695,3648.7695
HCPCS C1713,NAIL BONE TROCHANTERIC FIXATION TITANIUM CANNULATED PROXIMAL STERILE DISPOSABLE LEFT 130DEG 11 X 400MM,3648.7695,3648.7695
HCPCS C1713,NAIL FEMORAL CANNULATED TITANIUM TROCHANTERIC FIXATION INTRAMEDULLARY RIGHT STERILE 130DEG 10 X 380MM,3648.7695,3648.7695
HCPCS C1713,NUT SCREW STAINLESS STEEL CANNULATED SERRATED TIP SELF CUTTING 5MM,506.0475,506.0475
HCPCS C1713,SCREW BONE CORTICAL TITANIUM SELF TAPPING MODULAR HAND CRUCIFORM RECESS 2.0 X 34MM,212.5765,212.5765
HCPCS C1713,SCREW BONE CORTICAL TITANIUM LOCKING SELF TAPPING 50 X 5MM,560.286,560.286
HCPCS C1769,GUIDEWIRE ORTHOPEDIC STAINLESS STEEL SPADE POINT THREADED NONSTERILE 1.6 X 150MM,118.796,118.796
HCPCS C1713,WIRE BONE KIRSCHNER FIXATION STAINLESS STEEL SPADE POINT THREADED NONSTERILE 2.0 X 230MM,222.1475,222.1475
HCPCS C1713,WIRE BONE KIRSCHNER FIXATION STAINLESS STEEL SPADE POINT THREADED NONCOLOR NONSTERILE 2.0 X 230MM,158.95,158.95
HCPCS C1713,SCREW BONE LAG STAINLESS STEEL DHS DCS ONE STEP THREAD STERILE 12.7 X 22 X 110MM,943.228,943.228
HCPCS C1713,SCREW BONE LAG STAINLESS STEEL DHS DCS ONE STEP THREAD STERILE 12.7 X 22 X 100MM,980.951,980.951
HCPCS C1713,SCREW BONE LAG STAINLESS STEEL DHS DCS ONE STEP THREAD STERILE 12.7 X 22 X 95MM,980.951,980.951
HCPCS C1713,SCREW BONE CORTICAL TITANIUM SELF TAPPING MODULAR HAND CRUCIFORM RECESS 2.0 X 36MM,212.5765,212.5765
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 9 X 380MM,3413.8125,3413.8125
HCPCS C1713,NAIL BONE FEMORAL NAIL-EX TITANIUM RETROGRADE ANTEGRADE STERILE DISPOSABLE GREEN 12 X 400MM,3550.365,3550.365
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 11 X 480MM,3413.8125,3413.8125
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 380 X 11MM,3550.365,3550.365
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 360 X 11MM,3550.365,3550.365
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 10 X 440MM,3413.8125,3413.8125
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS STERILE AQUA 56 X 5MM,674.73,674.73
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 10 X 300MM,3550.365,3550.365
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 13 X 440MM,3550.365,3550.365
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 9 X 320MM,3413.8125,3413.8125
HCPCS C1713,ENDCAP FEMORAL NAIL-EX TITANIUM T40 STARDRIVE SPIRAL RETROGRADE STERILE 0MM,613.989,613.989
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS NONSTERILE AQUA 5 X 100MM,584.3835,584.3835
HCPCS C1713,SCREW BONE STARDRIVE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 RECESS AQUA 5.0 X 95.0MM,584.3835,584.3835
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 5 X 90MM,607.7585,607.7585
HCPCS C1713,SCREW BONE STAINLESS STEEL CORTEX SHAFT HEXAGONAL SOCKET PARTIAL THREAD FLAT HEAD 34 X 3.5MM,71.5275,71.5275
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 340 X 10MM,3413.8125,3413.8125
HCPCS C1713,NAIL BONE TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE BLUE 315 X 9.0MM,3111.816,3111.816
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE GREEN 11 X 390MM,2992.119,2992.119
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE GREEN 11 X 375MM,2992.119,2992.119
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE GREEN 11 X 345MM,3111.816,3111.816
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE GREEN 11 X 330MM,3111.816,3111.816
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE BLUE 9 X 405MM,3111.816,3111.816
HCPCS C1713,NAIL BONE TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE BLUE 360 X 9.0MM,2992.119,2992.119
HCPCS C1713,NAIL BONE FEMORAL NAIL-EX TITANIUM RETROGRADE ANTEGRADE STERILE DISPOSABLE GREEN 360 X 13MM,3550.365,3550.365
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE BLUE 9 X 330MM,2992.119,2992.119
HCPCS C1713,NAIL FEMORAL NAIL-EX TITANIUM CANNULATED RETROGRADE ANTEGRADE INSERTION STERILE GREEN 400 X 13MM,3550.365,3550.365
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE BLUE 8 X 315MM,2992.119,2992.119
HCPCS C1713,SCREW BONE STARDRIVE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 RECESS GOLD 5.0 X 80,614.4905,614.4905
HCPCS C1713,SCREW BONE STARDRIVE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 RECESS GOLD 5.0 X 75,639.081,639.081
HCPCS C1713,SCREW BONE STARDRIVE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 RECESS GOLD 5.0 X 65,614.4905,614.4905
HCPCS C1713,SCREW BONE STARDRIVE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 RECESS GOLD 5.0 X 45,614.4905,614.4905
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 52 X 5.0MM,607.7585,607.7585
HCPCS C1713,NAIL TIBIAL NAILS-FX TITANIUM CANNULATED PROXIMAL BEND STERILE BLUE 9.0 X 345MM,2992.119,2992.119
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 26 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL COMPRESSION SHORT THREAD HEADLESS T8 STARDRIVE RECESS 38 X 3.0MM,982.6,982.6
HCPCS C1713,SCREW BONE STAINLESS STEEL COMPRESSION SHORT THREAD HEADLESS CANNULATED T8 STARDRIVE RECESS NONSTERILE 34 X 3MM,982.6,982.6
HCPCS C1713,SCREW BONE LOCKING PERIPROSTHESIS STAINLESS STEEL SELF TAPPING FULL THREAD T2 STARDRIVE RECESS 5 X 8MM,662.6855,662.6855
HCPCS C1713,SCREW BONE LCP STAINLESS STEEL LOCKING SELF TAPPING FULL THREAD STARDRIVE RECESS STERILE 58 X 3.5MM,385.56,385.56
HCPCS C1713,SCREW BONE LCP STAINLESS STEEL LOCKING SELF TAPPING FULL THREAD STARDRIVE RECESS STERILE 56 X 3.5MM,400.979,400.979
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 5 X 76MM,607.7585,607.7585
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 30 X 2.4MM,421.7105,421.7105
HCPCS C1713,SCREW BONE COMPRESSION STAINLESS STEEL SHORT THREAD HEADLESS T8 STARDRIVE RECESS NONSTERILE 3.0 X 28MM,982.6,982.6
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 24 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 22 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 20 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 18 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW BONE STAINLESS STEEL VARIABLE ANGLE LOCKING SELF TAPPING FULL THREAD T8 STARDRIVE RECESS 16 X 2.4MM,438.5745,438.5745
HCPCS C1713,SCREW SPINE SPHERX II PEDICLE CANNULATED POLYAXIAL TITANIUM,447.525,447.525
HCPCS C1713,SCREW BONE LCP STAINLESS STEEL LOCKING SELF TAPPING FULL THREAD STARDRIVE RECESS STERILE 54 X 3.5MM,400.979,400.979
HCPCS C1713,NAIL BONE FEMORAL NAIL-EX TITANIUM CANNULATED LATERAL ENTRY RECONSTRUCTION STERILE RIGHT 12 X 380MM,3337.5165,3337.5165
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 58 X 4.0MM,607.7585,607.7585
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 56 X 4.0MM,607.7585,607.7585
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 50 X 4.0MM,607.7585,607.7585
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 38 X 5MM,607.7585,607.7585
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 36 X 5MM,607.7585,607.7585
HCPCS C1713,SCREW BONE TITANIUM LOCKING SELF TAPPING FULL THREAD T25 STARDRIVE RECESS AQUA 32 X 5.0MM,607.7585,607.7585
HCPCS C1713,SCREW BONE CANNULATED STAINLESS STEEL COMPRESSION SHORT THREAD HEADLESS T8 STARDRIVE RECESS 40 X 3.0MM,982.6,982.6
HCPCS C1713,NAIL BONE TIBIAL NAIL-EX TITANIUM STERILE DISPOSABLE 10 X 300MM,2992.119,2992.119
HCPCS C1713,SCREW BONE COMPRESSION STAINLESS STEEL SHORT THREAD HEADLESS T8 STARDRIVE RECESS NONSTERILE 16 X 3.0MM,982.6,982.6
HCPCS C1713,NAIL BONE INTRAMEDULLARY FEMORAL LATERAL ENTRY STERILE TITANIUM RIGHT 9 X 440MM,3471.009,3471.009
HCPCS C1713,SCREW BONE STAINLESS STEEL COMPRESSION SHORT THREAD HEADLESS T8 STARDRIVE RECESS NONSTERILE 2.4 X 36MM,982.6,982.6
HCPCS C1713,SCREW BONE COMPRESSION STAINLESS STEEL SHORT THREAD HEADLESS T8 STARDRIVE RECESS NONSTERILE 2.4 X 32MM,982.6,982.6
HCPCS C1713,SCREW BONE COMPRESSION STAINLESS STEEL SHORT THREAD HEADLESS T8 STARDRIVE RECESS 28 X 2.4MM,982.6,982.6
