Charge Number,Procedure Name,Procedure Code (CPT/HCPCS),Default Modifier,Gross Charge,Discounted Cash Charge ,Hospital Inpatient / Outpatient / Both
PC106909,"EXPANDER, TISSUE, 340-420CC, LW POLE+,MID HT PRO(ALLOX2-13SE)",L8600,," $1,478.25 ", $857.39 ,Both
M010719690,"EXPANDER, TISSUE, 350CC, LOW HT,W/SUT TAB,SMO,CPX4(350-9112)",L8600,," $1,620.00 ", $939.60 ,Both
PC104572,"EXPANDER, TISSUE, 350CC, SH HT, X PROJ, W/TABS (133SX-12-T)",L8600,," $1,822.50 "," $1,057.05 ",Both
PC106657,"EXPANDER, TISSUE, 360-430CC, LW POLE+,FL HT PRO(ALLOX2-FH13E)",L8600,," $2,693.25 "," $1,562.09 ",Both
PC105627,"EXPANDER, TISSUE, 375CC, HI PROF, ARTOURA (TEXP100RH)",L8600,," $2,656.25 "," $1,540.63 ",Both
M010637883,"EXPANDER, TISSUE, 375CC, HI PROF, SMOOTH, ARTOURA (SMXP120RH",L8600,," $1,620.00 ", $939.60 ,Both
M010719691,"EXPANDER, TISSUE, 450CC, LOW HT,W/SUT TAB,SMO,CPX4(350-9113)",L8600,," $1,620.00 ", $939.60 ,Both
M010706416,"EXPANDER, TISSUE, 450CC, MED HT,W/SUT TAB,SMO,CPX4(350-9213)",L8600,," $1,620.00 ", $939.60 ,Both
M010719697,"EXPANDER, TISSUE, 450CC, TALL HT,W/SUT TAB,SMO,CPX4(350-9313)",C1789,," $1,620.00 ", $939.60 ,Both
M010529816,"EXPANDER, TISSUE, 475CC, HI PROF, ARTOURA (TEXP130RH)",L8600,," $2,396.25 "," $1,389.83 ",Both
M010530674,"EXPANDER, TISSUE, 500CC, HI PROF, W/TABS, ARTOURA (TEXP135RH)",L8600,," $1,330.00 ", $771.40 ,Both
M010429767,"EXPANDER, TISSUE, 550CC, MED HT, W/SUT TAB, CPX4 (354-9214)",L8600,," $1,620.00 ", $939.60 ,Both
PC105919,"EXPANDER, TISSUE, 650CC, SH HT, X PROJ, W/TABS (133SX-15-T)",L8600,," $1,822.50 "," $1,057.05 ",Both
M010719694,"EXPANDER, TISSUE, 750CC, LOW HT, W/SUT TAB,SMO,CPX4(350-9116)",C1789,," $1,620.00 ", $939.60 ,Both
86235,EXTRACTABLE NUCLEAR ANTIGEN ANTIBODY TO,86235,, $54.00 , $31.32 ,Both
81240,F2 GENE ANALYSIS 20210G >A VARIANT,81240,, $141.00 , $81.78 ,Both
99291450,"FAC, ED FEE, CRITICAL CARE",99291,," $1,136.00 ", $658.88 ,Both
99281450,"FAC, ED FEE, LEVEL 1",99281,, $119.00 , $69.02 ,Both
99284450,"FAC, ED FEE, LEVEL 4",99284,, $600.00 , $348.00 ,Both
99285450,"FAC, ED FEE, LEVEL 5",99285,, $860.00 , $498.80 ,Both
J7186636,"FACT VIII/VON WILLEBRND CMPLX (HUM) F8 IU, FAC FEE",J7186,, $1.82 , $1.06 ,Both
85335,FACTOR INHIBITOR TEST,85335,, $39.00 , $22.62 ,Both
J7192636,FACTOR VIII RECOMBINANT PER IU,J7192,, $2.45 , $1.42 ,Both
81242,FANCC GENE ANALYSIS COMMON VARIANT,81242,, $79.00 , $45.82 ,Both
82715,FAT DIFFERENTIAL FECES QUANTITATIVE,82715,, $69.00 , $40.02 ,Both
82705,FAT OR LIPIDS FECES QUALITATIVE,82705,, $15.00 , $8.70 ,Both
82710,FAT OR LIPIDS FECES QUANTITATIVE,82710,, $50.00 , $29.00 ,Both
89125,FAT STAIN FECES URINE OR SPECTUM,89125,, $18.00 , $10.44 ,Both
82725,FATTY ACIDS NONESTERIFIED,82725,, $56.00 , $32.48 ,Both
82726,"FATTY ACIDS, VERY LONG CHAIN",82726,, $59.00 , $34.22 ,Both
10120450,"FB SQ INCISE & REMOVE, ER FEE",10120,, $545.00 , $316.10 ,Both
85380,FDP D-DIMER; ULTRASENSITIVE QUAL/SEMIQUA,85380,, $31.00 , $17.98 ,Both
80354,FENTANYL,80354,, $85.00 , $49.30 ,Both
J3010,FENTANYL CITRATE INJ 0.1 MG,J3010,, $2.98 , $1.73 ,Both
J3010250,"FENTANYL CITRATE INJ 0.1 MG, FAC FEE",J3010,, $2.98 , $1.73 ,Both
82728,FERRITIN,82728,, $41.00 , $23.78 ,Both
76818,FETAL BIOPHYSICAL PROFILE; WITH NON STRESS TESTING,76818,TC, $263.00 , $152.54 ,Both
76819,FETAL BIOPHYSICAL PROFILE; WITHOUT NON STRESS TESTING,76819,TC, $193.00 , $111.94 ,Both
81420,"FETAL CHROMOSOMAL ANEUPLOIDY, GENOMIC  ANALYSIS PANEL,  13, 18, AND 21",81420,," $1,634.00 ", $947.72 ,Both
81509,FETAL CONGENITAL ABNOR ASSAY 3 PROTEINS,81509,," $3,201.00 "," $1,856.58 ",Both
81512,FETAL CONGENITAL ABNOR ASSAY FIVE ANAL,81512,, $150.00 , $87.00 ,Both
81511,FETAL CONGENITAL ABNOR ASSAY FOUR ANAL,81511,, $330.00 , $191.40 ,Both
81510,FETAL CONGENITAL ABNOR ASSAY THREE ANAL,81510,, $120.00 , $69.60 ,Both
81508,FETAL CONGENITAL ABNOR ASSAY TWO PROTEINS,81508,, $117.00 , $67.86 ,Both
59020,FETAL CONTRACTION STRESS TEST,59020,TC, $137.00 , $79.46 ,Both
82731,"FETAL FIBRONECTIN, CERVIOVAGINAL,SEMI",82731,, $193.00 , $111.94 ,Both
83663,FETAL LUNG MAT.ASSMT.-FLORO POLRIZTON.,83663,, $57.00 , $33.06 ,Both
83664,FETAL LUNG MAT.ASSMT.-LAMELLAR DENSITY,83664,, $58.00 , $33.64 ,Both
59025,FETAL NON-STRESS TEST,59025,TC, $78.00 , $45.24 ,Both
PC105720,"FIBER, LASER, CYBER TM, 200UM, BARE OPT(OBM001303-FB)",,," $1,755.00 "," $1,017.90 ",Both
PC103392,"FIBER, LASER, GREENLIGHT XPS (10-2400XPS)",,," $2,025.00 "," $1,174.50 ",Both
PC104820,"FIBER, LASER, HOLMIUM, 365UM (HM-365-FB)",,, $337.50 , $195.75 ,Both
PC106334,"FIBER, LASER, HOLMIUM, BARE,1000UM (HM-1000-FB)",,, $400.00 , $232.00 ,Both
PC106968,"FIBER, LASER, HOLMIUM, DOME TIP,200A (HM-200-A-DT-FB)",,, $450.00 , $261.00 ,Both
PC102180,"FIBER, LASER, OMNIGUIDE, OTO-M, BEAMPATH (OMNI-OTO-M-1-FB)",,," $1,400.00 ", $812.00 ,Both
PC107133,"FIBER, LASER, ULTRALASE, 500UM, SU (HWG-500-FB)",,," $1,687.50 ", $978.75 ,Both
85379,FIBRIN (FDPD) D-DIMER QUANTIATIVE,85379,, $31.00 , $17.98 ,Both
85378,FIBRIN DEGRADATION PRODUCTS D-DIMER SEM,85378,, $29.00 , $16.82 ,Both
85366,FIBRIN PARACOAGULATION,85366,, $241.00 , $139.78 ,Both
85370,FIBRIN QUANTITATIVE,85370,, $37.00 , $21.46 ,Both
85384,FIBRINOGEN ACTIVITY,85384,, $29.00 , $16.82 ,Both
85385,FIBRINOGEN ANTIGEN,85385,, $43.00 , $24.94 ,Both
85362,FIBRINOGEN DEGRADATION PRODUTS (FDP),85362,, $21.00 , $12.18 ,Both
85390,FIBRINOLYSINS OR COAGULOPATHY,85390,, $170.00 , $98.60 ,Both
85390,FIBRINOLYSINS OR COAGULOPATHY,85390,TC, $46.00 , $26.68 ,Both
85400,FIBRINOLYTIC FACTORS INHIBITORS PLASMIN,85400,, $23.00 , $13.34 ,Both
85421,FIBRINOLYTIC PLASMINOGEN ANTIGENICASSAY,85421,, $31.00 , $17.98 ,Both
85420,FIBRINOLYTIC PLASMINOGEN WO ANTIGENIC,85420,, $20.00 , $11.60 ,Both
85415,"FIBRINOLYTIC PLASMINOGEN,ACTIVTR",85415,, $52.00 , $30.16 ,Both
M010453257,"FILLER, JUVADERM, ULTRA XC, GEL, 1ML (94154)",,, $384.23 , $222.85 ,Both
PC102071,"FILTER, CO2 LASER, HIGH PRESSURE (OMNI-ACC-GFU-100)",,, $237.50 , $137.75 ,Both
M010139889,"FILTER, GRAFT, F/REAMER/IRRIGA/ASPIRATOR (352.229S)",,, $462.30 , $268.13 ,Both
PC103272,"FIXATOR, PIP JOINT, COMPLETE SYSTEM, DIGIT WIDGET (DWD-232)",C1776,," $1,856.25 "," $1,076.63 ",Both
PC103634,"FLIPCUTTER II, 8.5MM (AR-1204AF-85)",,, $585.00 , $339.30 ,Both
A9586,"FLORBETAPIR F18, DIAGNOSTIC, PER STUDY DOSE, UP TO 10 MILLICURIES",A9586,," $4,094.65 "," $2,374.90 ",Both
88182,FLOW CYTOMETRY CELL CYCLE OR DNA,88182,, $397.00 , $230.26 ,Both
88182,FLOW CYTOMETRY CELL CYCLE OR DNA,88182,TC, $289.00 , $167.62 ,Both
88187,"FLOWCYTOMETRY / READ, 2-8",88187,, $103.00 , $59.74 ,Both
88184,"FLOWCYTOMETRY / TC, 1 MARKER",88184,, $197.00 , $114.26 ,Both
88185,"FLOWCYTOMETRY / TC, ADD-ON",88185,, $65.00 , $37.70 ,Both
88189,"FLOWCYTOMETRY/READ, 16 & >",88189,, $234.00 , $135.72 ,Both
88188,"FLOWCYTOMETRY/READ, 9-15",88188,, $175.00 , $101.50 ,Both
81245,FLT3 GENE ANALYSIS INTERNAL TANDEM DUP VARIANTS,81245,, $356.00 , $206.48 ,Both
90662,"FLU, (IIV) SPLIT VIRUS, PRES FREE, ENH IMMUNOGENICITY VIA INCR ANTIGEN",90662,, $64.00 , $37.12 ,Both
82735,FLUORIDE,82735,, $56.00 , $32.48 ,Both
77001,FLUORO GUIDE FOR CENT VENOUS ACCESS DEVICE,77001,TC, $312.00 , $180.96 ,Both
77002,FLUOROSCOPIC GUIDANCE FOR NEEDLE PLACEMENT,77002,TC, $323.00 , $187.34 ,Both
76000,"FLUOROSCOPY, BACK OFFICE, (SEP PROC) UP TO 1 HR MD OR QUAL PROF, TIME",76000,TC, $106.00 , $61.48 ,Both
77003,FLUOSCOPIC GUIDE NEEDLE SPINE PROCEDURE,77003,TC, $286.00 , $165.88 ,Both
J2680250,FLUPHENAZINE DECANOATE (PROLIXIN)  UP TO 25 MG,J2680,, $44.41 , $25.76 ,Both
81243,FMR1 ANALYSIS EVAL TO DETECT ABNORMAL ALLELES,81243,, $123.00 , $71.34 ,Both
82272,FOBT DURING VISIT SINGLE CARD,82272,, $13.00 , $7.54 ,Both
82274,FOBT SINGLE CARD DONE DURING VISIT,82274,, $48.00 , $27.84 ,Both
82746,FOLIC ACID SERUM,82746,, $44.00 , $25.52 ,Both
82747,FOLIC ACID SERUM RBC,82747,, $53.00 , $30.74 ,Both
M010143081,"FORCEPS, 25+, MAXGRIP, BLUNT TIP, MICRO TEX, GRIESHABER",,," $1,092.00 ", $633.36 ,Both
PC106758,"FORCEPS, 27+, END GRASPING ILM, GRIESHABER REVOLUTION DSP",,, $326.25 , $189.23 ,Both
J7640250,"FORMORTEROL INHAL SOL U DOSE 12 MCG, FAC",J7640,, $5.80 , $3.36 ,Both
J7606250,"FORMOTEROL FUM INH NON-COMP UNIT DSE 20 MCG, FAC FEE",J7606,, $25.37 , $14.71 ,Both
J1645250,FRAGMIN / DALTEPARIN SODIUM PER 2500 IU FAC FEE,J1645,, $26.60 , $15.43 ,Both
86927,FRESH FROZEN PLASMA THAWING EA UNIT,86927,, $72.00 , $41.76 ,Both
86930,FROZEN BLOOD PREP FOR FREEZING EA UNIT,86930,, $427.00 , $247.66 ,Both
86931,FROZEN BLOOD PREP W/THAWING,86931,, $320.00 , $185.60 ,Both
86932,FROZEN BLOOD W FREEZING & THAWING,86932,, $362.00 , $209.96 ,Both
P9017390,FRSH FRZN PLSMA FRZN W/8HRS CLC EA UNIT,P9017,, $73.00 , $42.34 ,Both
82757,FRUCTOSE SEMEM,82757,, $52.00 , $30.16 ,Both
36903320,FSC,36903,," $16,891.00 "," $9,796.78 ",Both
PC104776,"FUNNEL, F / BIOCARTILAGE (ABS-1003)",C1762,, $77.00 , $44.66 ,Both
J1940250,"FUROSEMIDE (LASIX), UP TO 20 MG, FAC FEE",J1940,, $2.07 , $1.20 ,Both
M010718765,"G7, ACETABULAR LINER, 28MM, SZ B, NEUTRAL E1 (010000836)",C1776,, $688.36 , $399.25 ,Both
M010718772,"G7, ACETABULAR LINER, 32MM, SZ B, NEUTRAL E1 (010000846)",C1776,, $688.36 , $399.25 ,Both
M010718773,"G7, ACETABULAR LINER, 32MM, SZ D, NEUTRAL E1 (010000848)",C1776,, $688.36 , $399.25 ,Both
M010800044,"G7, ACETABULAR LINER, 32MM, SZ D, NEUTRAL,HI CRSLNK(30103204)",C1776,, $688.36 , $399.25 ,Both
M010718774,"G7, ACETABULAR LINER, 32MM, SZ E, NEUTRAL E1 (010000849)",C1776,, $688.36 , $399.25 ,Both
M010718775,"G7, ACETABULAR LINER, 32MM, SZ F, NEUTRAL E1 (010000850)",C1776,, $688.36 , $399.25 ,Both
M010628009,"G7, ACETABULAR LINER, 36MM, SZ D, NEUTRAL E1 (010000856)",C1776,, $688.36 , $399.25 ,Both
M010798659,"G7, ACETABULAR LINER, 36MM, SZ D, NEUTRAL,HI CRSLNK(30103604)",C1776,, $688.36 , $399.25 ,Both
M010718778,"G7, ACETABULAR LINER, 36MM, SZ E, NEUTRAL E1 (010000857)",C1776,, $688.36 , $399.25 ,Both
PC107102,"G7, ACETABULAR LINER, 36MM, SZ E, NEUTRAL,HI CRSLNK(30103605)",C1776,, $688.36 , $399.25 ,Both
M010658583,"G7, ACETABULAR LINER, 36MM, SZ F, HIGH WALL E1 (010000936)",C1776,, $688.36 , $399.25 ,Both
M010500839,"G7, ACETABULAR LINER, 36MM, SZ F, NEUTRAL E1 (010000858)",C1776,, $688.36 , $399.25 ,Both
M010798660,"G7, ACETABULAR LINER, 36MM, SZ F, NEUTRAL,HI CRSLNK(30103606)",C1776,, $688.36 , $399.25 ,Both
PC107101,"G7, ACETABULAR LINER, 36MM, SZ F, NEUTRAL,HI CRSLNK(30103606)",C1776,, $688.36 , $399.25 ,Both
M010619119,"G7, ACETABULAR LINER, 36MM, SZ G, NEUTRAL E1 (010000859)",C1776,, $688.36 , $399.25 ,Both
M010799569,"G7, ACETABULAR LINER, 36MM, SZ G, NEUTRAL,HI CRSLNK(30103607)",C1776,, $688.36 , $399.25 ,Both
M010718834,"G7, ACETABULAR LINER, 36MM, SZ H, HIGH WALL E1 (010000938)",C1776,, $688.36 , $399.25 ,Both
M010617691,"G7, ACETABULAR LINER, 36MM, SZ H, NEUTRAL E1 (010000860)",C1776,, $688.36 , $399.25 ,Both
PC107100,"G7, ACETABULAR LINER, 36MM, SZ H, NEUTRAL,HI CRSLNK(30103608)",C1776,, $688.36 , $399.25 ,Both
M010800051,"G7, ACETABULAR LINER, 36MM, SZ I, NEUTRAL,HI CRSLNK(30103609)",C1776,, $688.36 , $399.25 ,Both
M010581546,"G7, ACETABULAR LINER, 46MM, SZ G, DUAL MOBLTY,COCR(110024465)",C1776,," $1,935.67 "," $1,122.69 ",Both
M010599721,"G7, ACETABULAR LINER, 50MM, SZ H, DUAL MOBLTY,COCR(110024466)",C1713,," $1,400.00 ", $812.00 ,Both
M010612435,"G7, ACETABULAR SHELL, 50MM, SZ D, 3H, OSSEO TI (110010243)",C1776,," $1,154.01 ", $669.33 ,Both
M010613029,"G7, ACETABULAR SHELL, 50MM, SZ D, LIMITD HOLE, PPS(010000662)",C1776,, $773.60 , $448.69 ,Both
M010535969,"G7, ACETABULAR SHELL, 524M, SZ F, LIMITD HOLE, PPS(010000664)",C1762,, $773.60 , $448.69 ,Both
M010612387,"G7, ACETABULAR SHELL, 52MM, SZ E, 3H, OSSEO TI (110010244)",C1776,," $1,154.01 ", $669.33 ,Both
M010502023,"G7, ACETABULAR SHELL, 52MM, SZ E, LIMITD HOLE, PPS(010000663)",C1776,, $773.60 , $448.69 ,Both
M010603193,"G7, ACETABULAR SHELL, 54MM, SZ F, 4H, OSSEO TI (110010245)",C1776,," $1,154.01 ", $669.33 ,Both
M010500837,"G7, ACETABULAR SHELL, 56MM, SZ F, LIMITD HOLE, PPS(010000665)",C1776,, $773.60 , $448.69 ,Both
M010614331,"G7, ACETABULAR SHELL, 58MM, SZ G, 4H, OSSEO TI (110010247)",C1776,," $1,154.01 ", $669.33 ,Both
M010613030,"G7, ACETABULAR SHELL, 58MM, SZ G, LIMITD HOLE, PPS(010000666)",C1776,, $773.60 , $448.69 ,Both
M010614332,"G7, ACETABULAR SHELL, 60MM, SZ G, 4H, OSSEO TI (110010248)",C1776,," $1,154.01 ", $669.33 ,Both
M010613031,"G7, ACETABULAR SHELL, 60MM, SZ G, LIMITD HOLE, PPS(010000667)",C1776,, $773.50 , $448.63 ,Both
M010614333,"G7, ACETABULAR SHELL, 62MM, SZ H, 4H, OSSEO TI (110010249)",C1776,," $1,130.92 ", $655.93 ,Both
M010606091,"G7, ACETABULAR SHELL, 62MM, SZ H, LIMITD HOLE, PPS(010000668)",C1776,, $773.60 , $448.69 ,Both
M010581547,"G7, BEARING, ACETAB, 28 X 46MM, SZ G, E1 ACTV ART(EP-200152)",C1776,, $688.36 , $399.25 ,Both
A9579255,"GADOLINIUM BASED MR CONTRAST NOS, PER ML",A9579,, $8.34 , $4.84 ,Both
82759,GALACTOKINASE RBC,82759,, $64.00 , $37.12 ,Both
82760,GALACTOSE,82760,, $34.00 , $19.72 ,Both
82776,GALACTOSE 1 PHOSPHATE SCREEN,82776,, $35.00 , $20.30 ,Both
82775,GALACTOSE 1 PHOSPHATE URIDYL TRANSFERASE,82775,, $63.00 , $36.54 ,Both
82777,GALECTIN 3,82777,, $133.00 , $77.14 ,Both
82784,GAMMAGLOBULAN IGA IGD IGG 1GM EACH,82784,, $28.00 , $16.24 ,Both
82785,GAMMAGLOBULAN IGE,82785,, $49.00 , $28.42 ,Both
82787,GAMMAGLOBULIN IMMUNOGLOBULIN SUBCLASSES,82787,, $24.00 , $13.92 ,Both
83001,GANADOTROPIN FOLLICLE STIM HORMONE FSH,83001,, $56.00 , $32.48 ,Both
82800,GASES BLOOD PH ONLY,82800,, $33.00 , $19.14 ,Both
82805,"GASES, BLOOD, ANY COMBINATION OF PH",82805,, $236.00 , $136.88 ,Both
82810,"GASES, BLOOD, O2 SATURATION ONLY,",82810,, $29.00 , $16.82 ,Both
82930,GASTRIC ACID ANALYIS W/PH EA SPECIMEN,82930,, $20.00 , $11.60 ,Both
78266,"GASTRIC EMPTYING IMAGE STUDY; W SMALL BOWEL& COLON TRANSIT, MULTI DAYS",78266,TC," $1,559.00 ", $904.22 ,Both
78265,GASTRIC EMPTYING IMAGING STUDY ; WITH SMALL BOWEL TRANSIT,78265,TC," $1,413.00 ", $819.54 ,Both
78264,GASTRIC EMPTYING STUDY,78264,TC," $1,203.00 ", $697.74 ,Both
I7826452,GASTRIC EMPTYING STUDY,78264,52, $602.00 , $349.16 ,Both
78261,GASTRIC MUCOSA IMAGING,78261,TC, $716.00 , $415.28 ,Both
82941,GASTRIN,82941,, $53.00 , $30.74 ,Both
82938,GASTRIN AFTER SECRETION STIMULATION,82938,, $53.00 , $30.74 ,Both
78262,GASTROESOPHAGEAL REFLUX STUDY,78262,TC, $844.00 , $489.52 ,Both
91034,GASTROESOPHAGEAL REFLUX TEST,91034,TC, $512.00 , $296.96 ,Both
76975,GASTROINTESTINAL ENDOSCOPIC ULTRASOUND,76975,TC, $241.00 , $139.78 ,Both
81251,GBA GLUCOSIDASE/BETA/ACID ANAL COMM VARIANTS,81251,, $102.00 , $59.16 ,Both
80050,GENERAL HEALTH PANEL,80050,, $166.00 , $96.28 ,Both
PC106008,"GENERATOR, PULSE, SENZA, KIT, INC INSERT TOOLS (NIPG1500)",C1822,," $24,882.00 "," $14,431.56 ",Both
PC106063,"GENERATOR, SCS, PRECISION MONTAGE MRI, 16 CONTACT (SC-1200)",C1820,," $23,567.50 "," $13,669.15 ",Both
87901,"GENOTYPE BY DNA/RNA,HIV 1",87901,, $772.00 , $447.76 ,Both
J1580250,"GENTAMICIN, UP TO 80 MG, FAC FEE",J1580,, $3.33 , $1.93 ,Both
78282,GI PROTEIN LOSS EXAM,78282,TC, $195.00 , $113.10 ,Both
91110,"GI TRACT IMAGING, INTRALUMINAL (EG, CAPSULE EGD)",91110,TC," $2,675.00 "," $1,551.50 ",Both
91112,"GI WIRELESS CAPSULE, TRANSIT AND PRESSURE MEASUREMENT",91112,TC," $4,895.00 "," $2,839.10 ",Both
81252,GJB2 GENE ANALYSIS FULL GENE SEQUENCE,81252,, $218.00 , $126.44 ,Both
81253,GJB2 GENE ANALYSIS KNOWN FAMILIAL VARIANTS,81253,, $132.00 , $76.56 ,Both
81254,GJB6 GENE ANALYSIS COMMON VARIANTS,81254,, $75.00 , $43.50 ,Both
82943,GLUCAGON,82943,, $43.00 , $24.94 ,Both
J1610636,"GLUCAGON HYDROCHLORIDE, PER 1 MG, FAC FEE",J1610,, $245.90 , $142.62 ,Both
80422,GLUCAGON TOLERANCE PANEL FOR INSULNOMA,80422,, $138.00 , $80.04 ,Both
80424,GLUCAGON TOLERANCE PANEL FOR PHEOCHROMOC,80424,, $151.00 , $87.58 ,Both
82946,GLUCAGON TOLERANCE TEST,82946,, $53.00 , $30.74 ,Both
82962,GLUCOSE BLOOD GLUCOSE MONITORING DEVICE(S) CLEAR,82962,, $10.00 , $5.80 ,Both
82948,GLUCOSE BLOOD REAGENT STRIP,82948,, $15.00 , $8.70 ,Both
82950,GLUCOSE POST GLUCOSE DOSE,82950,, $14.00 , $8.12 ,Both
82947,GLUCOSE QUANTITATIVE,82947,, $12.00 , $6.96 ,Both
82960,GLUCOSE SCREEN,82960,, $18.00 , $10.44 ,Both
82951,GLUCOSE TOLERANCE TEST 3 SPECIMENS,82951,, $39.00 , $22.62 ,Both
82952,GLUCOSE TOLERANCE TEST EACH > 3,82952,, $12.00 , $6.96 ,Both
82945,"GLUCOSE,BODY FLUID,OTHER THAN BLOOD",82945,, $12.00 , $6.96 ,Both
82955,GLUCOSE-6-PHOSPHATE DEHYDROGENASE (G6PD),82955,, $29.00 , $16.82 ,Both
82963,GLUCOSIDASE BETA,82963,, $64.00 , $37.12 ,Both
82965,GLUTAMATE DEHYROGENASE,82965,, $39.00 , $22.62 ,Both
82977,GLUTAMYLTRANSFERASE GAMMA,82977,, $22.00 , $12.76 ,Both
82978,GLUTATHIONE,82978,, $46.00 , $26.68 ,Both
82979,GLUTATHIONE REDUCTASE GGT,82979,, $28.00 , $16.24 ,Both
82985,GLYCATED PROTEIN,82985,, $50.00 , $29.00 ,Both
86146,"GLYCOPRTIEN I ANTIBODY,BETA 2",86146,, $76.00 , $44.08 ,Both
J1600250,GOLD SODIUM THIOMALATE (MYOCHRYSINE) UP TO 50MG,J1600,, $40.76 , $23.64 ,Both
84703,GONADOTROPIN CHORIONIC QUALITATIVE HCG,84703,, $23.00 , $13.34 ,Both
84702,GONADOTROPIN CHORIONIC QUANTITATIVE HCG,84702,, $45.00 , $26.10 ,Both
83002,GONADOTROPIN LUTEINIZING HORMONE,83002,, $56.00 , $32.48 ,Both
80426,GONADOTROPIN RELEASING HORMONE STIMULAT,80426,, $445.00 , $258.10 ,Both
Q4132,"GRAFIX CORE, PER SQUARE CENTIMETER",Q4132,, $389.00 , $225.62 ,Both
Q4133,"GRAFIX PRIME, PER SQUARE CENTIMETER",Q4133,, $462.00 , $267.96 ,Both
M010697690,"GRAFT, AUGMENT INJ, 3CC, RECOMB HUMN GRWTH FACTR (K30003010)",C1762,," $4,404.00 "," $2,554.32 ",Both
PC106044,"GRAFT, BONE, BMP, 2.8CC, INFUSE, SIX 1X2"" SPONGE (7510200)",C9359,," $4,434.00 "," $2,571.72 ",Both
M010099812,"GRAFT, BONE, OSTEOSET, MINI, FAST, 5CC, RESORBABLE(8400-0611)",C1713,," $1,478.25 ", $857.39 ,Both
M010730653,"GRAFT, BONE, PRO-DENSE, 7CC, INJECT, SYNTH BIOMAT (87SR-0070)",C1763,," $1,539.00 ", $892.62 ,Both
PC105459,"GRAFT, VASC, ACUSEAL, 4-7MM X 45CM, TAPERED (ECH470045A)",C1768,," $2,023.65 "," $1,173.72 ",Both
PC105273,"GRAFT, VASC, PROPATEN, 4-7MM X 45CM, STRTCH, STD WALL(H470045A)",C1768,," $1,749.60 "," $1,014.77 ",Both
PC104652,"GRAFT, VASC, PROPATEN, 6MM X 40CM, STRTCH, STD WALL (H060040A)",C1768,," $1,474.00 ", $854.92 ,Both
PC101834,"GRASPER, 5MM X 35CM, DIRECT DRIVE (C4130)",,, $183.68 , $106.53 ,Both
80430,GROWH HORMONE SUPRESSION PANEL GLC ADM,80430,, $388.00 , $225.04 ,Both
83003,GROWTH HORMONE HUMAN,83003,, $50.00 , $29.00 ,Both
86277,GROWTH HORMONE HUMAN ANTIBODY,86277,, $47.00 , $27.26 ,Both
80428,GROWTH HORMONE STIMULATION PANEL,80428,, $200.00 , $116.00 ,Both
77387,GUIDANCE LOCALIZTION TARGET VOLUME  DELIVERY RADIATION TX,77387,TC, $282.00 , $163.56 ,Both
M0101499,"GUIDE PIN, 2.4MM, OSTEOTOMY, BREAKAWAY (AR-13303-2.4)",C1713,, $132.50 , $76.85 ,Both
PC104581,"GUIDE WIRE, .045 (1.1MM), TROCAR TIP (AR-5025K)",C1769,, $21.00 , $12.18 ,Both
M010453781,"GUIDE WIRE, .062 X 9.25"", SS (80-0950)",C1769,, $30.00 , $17.40 ,Both
PC105889,"GUIDE WIRE, .062, 12"" L (AR-8941-12)",C1769,, $123.75 , $71.78 ,Both
PC105035,"GUIDE WIRE, .062, THREADED W/ TROCAR TIP (AR-8941KT)",C1769,, $33.00 , $19.14 ,Both
PC106414,"GUIDE WIRE, 1.25 X 150MM, NON-THREADED (900.721)",C1769,, $134.75 , $78.16 ,Both
PC104882,"GUIDE WIRE, 1.25 X 150MM, THREADED (900.722)",C1769,, $132.69 , $76.96 ,Both
M010603626,"GUIDE WIRE, 1.35 X 130MM, W/ DUAL TROCAR TIP (AR-5050-01)",C1769,, $90.20 , $52.32 ,Both
PC106976,"GUIDE WIRE, 1.6 X 150MM, DBL BLUNT TIP, SMOOTH (P30-192-1615)",C1776,, $115.50 , $66.99 ,Both
PC106447,"GUIDE WIRE, 1.6 X 200MM, DRILL TIP (02.113.001)",C1769,, $162.50 , $94.25 ,Both
M010274494,"GUIDE WIRE, 1MMX15CM, TROC TIP,F/HERBERT/WHIPPLE(00115205000)",C1769,, $177.50 , $102.95 ,Both
M010091800,"GUIDE WIRE, 2.5 X 200MM, DRILL TIP (310.243)",C1769,, $111.95 , $64.93 ,Both
M010278217,"GUIDE WIRE, 2.5 X 300MM, DRILL TIP (03.120.026)",C1769,, $123.34 , $71.54 ,Both
PC101491,"GUIDE WIRE, 2.8MM, THRD, TROCAR POINT (292.68)",C1769,, $74.39 , $43.15 ,Both
PC106819,"GUIDE WIRE, 3.0MM, BEADED TIP, F/VALOR NAIL (4150004030)",C1769,, $596.00 , $345.68 ,Both
PC106818,"GUIDE WIRE, 3.0MM, ENTRY, F/VALOR NAIL (4150004025)",C1769,, $596.00 , $345.68 ,Both
PC101300,"GUIDE WIRE, 3.2MM X 400MM",C1769,, $222.50 , $129.05 ,Both
M010114767,"GUIDE WIRE, KIRSCHNER, 2.0 X 240MM, TROCAR TIP (03.010.025)",C1769,, $61.05 , $35.41 ,Both
PC107106,"GUIDE, F/0.054"" K-WIRE (80-0688)",C1769,, $225.00 , $130.50 ,Both
M010033208,"GUIDE, NERVE, 1.5MM X 3CM, NEURAGEN (PNG130)",C1769,," $3,056.25 "," $1,772.63 ",Both
