 PROCEDURE DESCRIPTION , PRICE , REVENUE CODE , CPT CODE , ALTERNATE CPT HCPC , CPT HCPC MODIFIER 
ADDITION LOWER EXTREM SOCKT INSERT KNEE DISARTIC, $760 , 274 ,L5656,  ,  
ADDITION LOWER EXTREM TEST SOCKET HEMIPELVECTOMY," $1,200 ", 274 ,L5628,  ,  
ADDITION LOWER EXTREM TEST SOCKET HIP DISARTIC," $1,370 ", 274 ,L5626,  ,  
ADDITION LOWER EXTREM TEST SOCKET KNEE DISARTIC, $940 , 274 ,L5622,  ,  
ADDITION LOWER EXTREMITY ABOVE KNEE WOOD SOCKET," $1,345 ", 274 ,L5644,  ,  
ADDITION LOWER EXTREMITY BELOW KNEE BACK CHECK, $199 , 274 ,L5686,  ,  
ADDITION LOWER EXTREMITY BELOW KNEE FORK STRAP, $140 , 274 ,L5684,  ,  
ADDITION LOWER EXTREMITY BELOW KNEE TOTAL CNTC, $985 , 274 ,L5637,  ,  
ADDITION LOWER EXTREMITY BELOW KNEE WOOD SOCKET," $9,591 ", 274 ,L5639,  ,  
ADDITION LOWER EXTREMITY TEST SOCKET ABOVE KNEE, $810 , 274 ,L5624,  ,  
ADDITION LOWER EXTREMITY TEST SOCKET BELOW KNEE," $1,210 ", 274 ,L5620,  ,  
ADDITION TERMINAL DEVICE MODIFIER WRIST UNIT," $1,574 ", 274 ,L6805,  ,  
ADDITION TERMINAL DEVICE PRECISION PINCH DEVICE, $966 , 274 ,L6810,  ,  
ADDITION TO LOWER EXTREMITY SOCKET INSERT SYMES," $1,596 ", 274 ,L5654,  ,  
ADDITION TO LOWER EXTREMITY TEST SOCKET SYMES, $510 , 274 ,L5618,  ,  
ADDITIVE FOR ENTERAL FORMULA, $200 , 270 ,B4104,  ,  
ADENOIDCTMY PRIMARY AGE 12/OVR," $7,438 ", 361 ,42831,  ,  
ADENOIDCTMY SEC AGE 12 OR OVER," $7,438 ", 361 ,42836,  ,  
ADENOIDECTMY PRIMARY; < AGE 12," $14,259 ", 361 ,42830,  ,  
ADENOIDECTOMY SEC UNDER AGE 12," $7,438 ", 361 ,42835,  ,  
ADENOSINE 5-MONOPHOSPHATE CYCLIC, $141 , 300 ,82030,  ,  
ADENOVIRUS VACCINE TYPE 4 LIVE ORAL, $200 , 636 ,90476,  ,  
ADENOVIRUS VACCINE TYPE 7 LIVE FOR ORAL, $200 , 636 ,90477,  ,  
ADHERE POS AIR PRESS THERAPY, $25 , 999 ,G8851,  ,  
ADHES DISC HMES/TRACH VALV EA, $200 , 270 ,A7506,  ,  
ADHES REM/SOLV (TAPE-CEMNT)/OZ, $200 , 270 ,A4455,  ,  
ADHES SKIN ATT/EXT BRST PROSTH, $200 , 270 ,A4280,  ,  
"ADHES, LIQUID OR EQ, ANY TYPE", $200 , 270 ,A4364,  ,  
ADHES/NON-ADHES DISK/FOAM PAD, $200 , 270 ,A5126,  ,  
ADHESIVE BANDAGE FIRST-AID TYPE ANY SIZE EACH, $200 , 270 ,A6413,  ,  
ADHESIVE REMOVER WIPES ANY TYPE EACH, $200 , 270 ,A4456,  ,  
ADJ CHEM NOT PRES RSN SPEC, $25 , 999 ,G8928,  ,  
ADJ CHEM PRES AJCC III, $25 , 999 ,G8927,  ,  
ADJ CMO NOT PRES RSN NOT GVN, $25 , 999 ,G8929,  ,  
ADJ HT DETACH ARM DESK/FULL WC, $978 , 290 ,E0973,  ,  
ADJ MOTION KN JT/LERMAN/FXOX, $246 , 274 ,L2186,  ,  
ADJ SHOE STYLE POSITION DEV, $200 , 274 ,L3160,  ,  
ADJ/REV EXT FIX SYS RQR ANESTH," $10,304 ", 361 ,20693,  ,  
ADJUNCT PREDX TST NO CYTOL/BX PROC, $200 , 512 ,D0431,  ,  
ADJUST MAXILLOFACIAL PROSTHESIS APPLIANCE BY REPORT, $704 , 512 ,D5992,  ,  
ADJUSTABLE ANGLE FOOTPLATE, $294 , 270 ,K0040,  ,  
ADJUSTABLE CHAIR FOR ESRD PTS, $200 , 290 ,E1570,  ,  
ADJUSTMENT GASTRIC BAND," $5,000 ", 361 ,S2083,  ,  
ADJUVANT HORMONAL THXPY RX/ADMIN, $25 , 999 ,4164F,  ,  
ADJVNT CHEMO RFRRD RXD/RCVD STAGE III COLON CA, $25 , 999 ,4180F,  ,  
ADM SET W/SM NONFL NEB NON-DI, $247 , 270 ,A7005,  ,  
ADM SET W/SM VOL NONF NEB DISP, $200 , 270 ,A7003,  ,  
"ADM.I.V. SOLUTION,EACH ADDITIONAL 1000ML", $28 , 260 ,X7702,  ,  
ADM.IV SOLN.INIT 1000CC INC SUPPL, $52 , 260 ,X7700,  ,  
"ADMIN + SUPPLY, TOSITUMOMAB"," $7,290 ", 333 ,G3001,  ,  
ADMIN HEPATITIS B VACCINE, $176 , 771 ,G0010,  ,  
ADMIN INFLUENZA VIRUS VACC, $118 , 771 ,G0008,  ,  
ADMIN PNEUMOCOCCAL VACCINE, $176 , 771 ,G0009,  ,  
ADMIN SET W/SM VOL FLTRD NEB, $200 , 270 ,A7006,  ,  
ADMIN. IV SOL.1000CC INCLD. TUBE&SUPPLY, $52 , 260 ,X0516,  ,  
ADMIN. IV SOL.500CC INCLD. TUBE & SUPPLY, $28 , 260 ,X0518,  ,  
ADOPTIVE IMMUNOTHERAPY," $5,000 ", 361 ,S2107,  ,  
ADRENAL IMAGING," $4,630 ", 341 ,78075,  ,  
ADRENALECTMY PART/CMPL-SEP PRC," $4,042 ", 360 ,60540,  ,  
ADRENALECT-SEP PROC W/EXC TUMR," $3,959 ", 360 ,60545,  ,  
ADRENALIN EPINEPHRINE INJECT, $40 , 636 ,J0171,  ,  
ADRENOCORTICOTROPIC HORMONE ACTH, $211 , 300 ,82024,  ,  
ADRENOCORTICOTROPIC HORMONE ACTH - SO, $211 , 300 ,82024,  ,  
ADULT COMPANIONCARE PER 15M, $500 , 570 ,S5135,  ,  
ADULT COMPANIONCARE PER DIEM, $500 , 570 ,S5136,  ,  
ADULT DAY CARE PER DIEM, $306 , 940 ,S5102,  ,  
ADULT DAY CARE PER HALF DAY, $225 , 940 ,S5101,  ,  
ADULT DAYCARE SERVICES 15MIN, $175 , 940 ,S5100,  ,  
ADULT FOSTER CARE PER DIEM, $500 , 580 ,S5140,  ,  
ADULT FOSTER CARE PER MONTH, $500 , 580 ,S5141,  ,  
ADULT SIZE BRIEF/DIAPER LG, $200 , 270 ,T4523,  ,  
ADULT SIZE BRIEF/DIAPER MED, $200 , 270 ,T4522,  ,  
ADULT SIZE BRIEF/DIAPER SM, $200 , 270 ,T4521,  ,  
ADULT SIZE BRIEF/DIAPER XL, $200 , 270 ,T4524,  ,  
ADULT SIZE PULL-ON LG, $200 , 270 ,T4527,  ,  
ADULT SIZE PULL-ON MED, $200 , 270 ,T4526,  ,  
ADULT SIZE PULL-ON SM, $200 , 270 ,T4525,  ,  
ADULT SIZE PULL-ON XL, $200 , 270 ,T4528,  ,  
ADULT SPEECH AID PROSTH," $2,110 ", 512 ,D5953,  ,  
ADV CARE PLN TLKD & ALT DCSN MAKER DOCD, $25 , 999 ,1123F,  ,  
ADV CARE PLN/ NO ALT DCSN MKR DOCD OR REFUSAL, $25 , 999 ,1124F,  ,  
ADV LIFE SUPPRT LEVL 2 (ALS 2), $500 , 540 ,A0433,  ,  
ADVANCED LIFE SUPPORT MILEAG, $750 , 540 ,A0390,  ,  
ADVNC CARE PLAN OR EQV LGL DOC IN MED RCRD, $25 , 999 ,1157F,  ,  
ADVNC CARE PLANNING TLK DOCD IN MED RCRD, $25 , 999 ,1158F,  ,  
AED GARMENT W ELEC ANALYSIS, $200 , 270 ,K0606,  ,  
AERO/VAPOR INHAL BRONCHODILTN, $313 , 410 ,94664,  ,  
AEROSOL COMPRES ADJ PRESS LD, $200 , 290 ,E0572,  ,  
AFLIBERCEPT INJECTION," $3,940 ", 636 ,J0178,  ,  
"AFLURIA VACC, 3 YRS & >, IM", $20 , 636 ,Q2035,  ,  
AFO ANKLE GAUNTLET CUST FAB," $3,374 ", 274 ,L1904,  ,  
AFO ANKLE GAUNTLET CUST FIT, $159 , 274 ,L1902,  ,  
AFO DBL S/BAR METAL FREE ANKLE," $1,770 ", 274 ,L1990,  ,  
AFO FX CAST CUSTOM FAB," $2,261 ", 274 ,L2108,  ,  
AFO FX RIGID CUSTOM FITTED," $4,776 ", 274 ,L2116,  ,  
AFO FX SEMI-RIGID CUSTOM FIT," $4,340 ", 274 ,L2114,  ,  
AFO FX SOFT CUSTOM FITTED, $950 , 274 ,L2112,  ,  
AFO PLAS ANK JTS CUST FAB," $1,798 ", 274 ,L1970,  ,  
AFO PLASTIC FLOOR REACTION," $5,544 ", 274 ,L1945,  ,  
AFO PLASTIC FX MOLDED," $1,370 ", 274 ,L2106,  ,  
AFO POSTERIOR SOLID ANK. RE-IN," $1,328 ", 274 ,L1960,  ,  
AFO RIGD ANT TIBL CARB FIBR/= PRFAB," $5,610 ", 274 ,L1932,  ,  
AFO SING SIDEBAR METAL FREE DO," $2,357 ", 274 ,L1980,  ,  
AFO SINGLE BAR PHELPS/PERLSTE," $2,196 ", 274 ,L1920,  ,  
AFO SINGLE BAR SHOE CLASP, $592 , 274 ,L1910,  ,  
AFO SPRING WIRE," $1,324 ", 274 ,L1900,  ,  
AFO SUPRAMALLEOLAR W/CUST STRAPS W/WO INTERFACE  PADS," $1,415 ", 274 ,L1907,  ,  
AFO WALK BOOT TYP ROCKR BOTTM ANT TIB SHELL CSTM," $13,294 ", 274 ,L4631,  ,  
AGALSIDASE BETA INJECTION," $14,001 ", 636 ,J0180,  ,  
AGGLUTININS FEBRILE EA ANTIG, $39 , 300 ,86000,  ,  
AGGLUTININS FEBRILE EA ANTIG - SO, $39 , 300 ,86000,  ,  
AGRIFLU VACCINE, $20 , 636 ,Q2034,  ,  
AHF IX COMPLX HEAT TRD PER IU, $40 , 636 ,J7194,  ,  
AHF VIII PER IU, $40 , 636 ,J7190,  ,  
AHF VIII RECOMBINANT, $40 , 636 ,J7192,  ,  
AHI OR RDI INITIAL DX, $25 , 999 ,G8842,  ,  
AIR AMBULANCE WAITING TIME PER 15 MIN., $100 , 540 ,X0506,  ,  
AIR BUBBLE DETECTR HEMODAL EA, $200 , 290 ,E1530,  ,  
AIR FLUIDIZED BED," $4,581 ", 290 ,E0194,  ,  
AIR PR PAD STAN MATT LEN/WID," $1,773 ", 290 ,E0197,  ,  
AIR PRESS ELEVATOR HEEL, $200 , 290 ,E0370,  ,  
AIR PRESSURE MATTRESS," $1,949 ", 290 ,E0186,  ,  
AIRPLANE SPLINT - SUPPLY, $200 , 270 ,A4570,  ,  
AIRWAY RESISTANCE BY IMPULSE OSCILLOMETRY, $355 , 460 ,94728,  ,  
AJCC BREAST CANCER STAGE 0 DOCUMENTED (ONC), $25 , 999 ,3370F,  ,  
AJCC BREAST CANCER STAGE I T1C, $25 , 999 ,3374F,  ,  
AJCC BREAST CANCER STAGE I T1MIC T1A/T1B, $25 , 999 ,3372F,  ,  
AJCC BREAST CANCER STAGE II DOCUMENTED (ONC), $25 , 999 ,3376F,  ,  
AJCC BREAST CANCER STAGE III DOCUMENTED (ONC), $25 , 999 ,3378F,  ,  
AJCC BREAST CANCER STAGE IV DOCUMENTED (ONC), $25 , 999 ,3380F,  ,  
"AJCC CANCER STAGE 0 OR IA MELANOMA, DOCUMENTED (ML)", $25 , 999 ,3321F,  ,  
"AJCC COLON CANCER, STAGE 0 DOCUMENTED (ONC)", $25 , 999 ,3382F,  ,  
"AJCC COLON CANCER, STAGE I DOCUMENTED (ONC)", $25 , 999 ,3384F,  ,  
"AJCC COLON CANCER, STAGE II DOCUMENTED (ONC)", $25 , 999 ,3386F,  ,  
"AJCC COLON CANCER, STAGE III DOCUMENTED (ONC)", $25 , 999 ,3388F,  ,  
"AJCC COLON CANCER, STAGE IV DOCUMENTED (ONC)", $25 , 999 ,3390F,  ,  
AJCC MEL CNR STG 0 - IIC, $25 , 999 ,G8944,  ,  
AJCC STAGE DOCUMENTED & REVIEWED, $25 , 999 ,3300F,  ,  
AK NEOPRENE SLEEVE SUSPENSION, $378 , 274 ,L5695,  ,  
ALARM SYMPTOMS ASSESSED 1/> PRESENT, $25 , 999 ,1071F,  ,  
ALARM SYMPTOMS ASSESSED NONE PRESENT, $25 , 999 ,1070F,  ,  
ALATROFLOXACIN MESYLATE, $20 , 636 ,J0200,  ,  
ALBUMIN SERUM PLASMA/WHOLE BLOOD, $30 , 300 ,82040,  ,  
ALBUMIN SERUM PLASMA/WHOLE BLOOD - SO, $30 , 300 ,82040,  ,  
ALBUMIN URINE MICROALBUMIN QUANTIATIVE, $77 , 300 ,82043,  ,  
ALBUMIN URINE MICROALBUMIN QUANTIATIVE - SO, $77 , 300 ,82043,  ,  
ALBUMIN URINE MICROALBUMIN SEMIQUANTITATIVE, $25 , 300 ,82044,  ,  
ALBUMIN URINE/OTHER SOURCE QUAN EACH SPECIMEN, $80 , 300 ,82042,  ,  
ALBUMIN URINE/OTHER SOURCE QUAN EACH SPECIMEN - SO, $80 , 300 ,82042,  ,  
ALBUMIN; ISCHEMIA MODIFIED, $186 , 300 ,82045,  ,  
ALBUTEROL COMP CON, $20 , 636 ,J7610,  ,  
ALBUTEROL COMP UNIT, $20 , 636 ,J7609,  ,  
ALBUTEROL IPRATROP NON-COMP, $20 , 636 ,J7620,  ,  
ALBUTEROL NON-COMP CON, $20 , 636 ,J7611,  ,  
ALBUTEROL NON-COMP UNIT, $20 , 636 ,J7613,  ,  
ALCOHL &/ RX SCR; LAB ANALY PRESENC ALCOHL &/ RX, $425 , 944 ,H0003,  ,  
ALCOHL &OR RX SRVC; METHADONE ADMIN &OR SERVICE, $425 , 944 ,H0020,  ,  
ALCOHL&/RX PREV PROB ID&REF SRVC NOT W/ASSESS, $425 , 944 ,H0028,  ,  
ALCOHL&/RX PREVENTION PROCESS SERVICE CMTY-BASED, $425 , 944 ,H0026,  ,  
ALCOHL&/RX SRVC;INTENSV OP;CRISIS INTRVN&ACTV TX, $425 , 944 ,H0015,  ,  
ALCOHOL &/ DRUG SERVICES; ACUTE DTOX RES PROG IP, $425 , 944 ,H0011,  ,  
ALCOHOL &/ DRUG SERVICES; ACUTE DTOX RES PROG OP, $425 , 944 ,H0013,  ,  
ALCOHOL &/ DRUG SRVC; SUB-ACUTE DTOX RES PROG IP, $425 , 944 ,H0010,  ,  
ALCOHOL &/ DRUG SRVC; SUB-ACUTE DTOX RES PROG OP, $425 , 944 ,H0012,  ,  
ALCOHOL &OR DRUG PREVENTION ALTERNATIVES SERVICE, $425 , 944 ,H0029,  ,  
ALCOHOL &OR DRUG PREVENTION ENVIR SERVICE, $425 , 944 ,H0027,  ,  
ALCOHOL &OR DRUG SERVICES; ACUTE DTOX HOSP IP, $425 , 944 ,H0009,  ,  
ALCOHOL &OR DRUG SERVICES; CRISIS INTERVENTION, $425 , 944 ,H0007,  ,  
ALCOHOL &OR DRUG SERVICES; GROUP CNSL CLINICIAN, $425 , 944 ,H0005,  ,  
ALCOHOL &OR DRUG SRVC; SUB-ACUTE DTOX HOSP IP, $425 , 944 ,H0008,  ,  
ALCOHOL AND/OR DRUG ASSESSMENT, $425 , 944 ,H0001,  ,  
ALCOHOL AND/OR DRUG INTERVENTION SERVICE, $425 , 944 ,H0022,  ,  
ALCOHOL AND/OR DRUG SERVICES; AMBULATORY DETOXIFICATION, $425 , 944 ,H0014,  ,  
ALCOHOL AND/OR DRUG SERVICES; CASE MANAGEMENT, $425 , 944 ,H0006,  ,  
ALCOHOL AND/OR DRUG SERVICES; MEDICAL/SOMATIC, $425 , 944 ,H0016,  ,  
ALCOHOL AND/OR DRUG TRAINING SERVICE, $425 , 944 ,H0021,  ,  
ALCOHOL ANY SPECIMEN EXCEPT BREATH, $100 , 300 ,82055,  ,  
ALCOHOL ANY SPECIMEN EXCEPT BREATH - SO, $100 , 300 ,82055,  ,  
ALCOHOL WIPES PER BOX, $200 , 270 ,A4245,  ,  
ALCOHOL/DRUG ABUSE SVC NOS, $425 , 944 ,H0047,  ,  
ALCOHOL/DRUG SCREENING, $96 , 944 ,H0049,  ,  
ALCOHOL/DRUG SERVICE 15 MIN, $192 , 944 ,H0050,  ,  
ALCOHOL/PEROXIDE PER PINT, $200 , 270 ,A4244,  ,  
ALCOHOL/SUBS INTERV >30 MIN, $230 , 900 ,G0397,  ,  
ALCOHOL/SUBS INTERV 15-30MN, $197 , 900 ,G0396,  ,  
ALCOHOL/SUBSTANCE ABUSE SKIL, $250 , 944 ,T1012,  ,  
ALDESLEUKIN INJECTION," $7,315 ", 636 ,J9015,  ,  
ALDOSTERONE SUPPRESS EVAL, $685 , 300 ,80408,  ,  
ALEMTUZUMAB INJECTION," $5,066 ", 636 ,J9010,  ,  
ALERT OR ALARM DEVICE NOC, $200 , 270 ,A9280,  ,  
ALGLUCERASE INJECTION, $20 , 636 ,J0205,  ,  
ALGLUCOSIDASE ALFA INJECTION," $2,400 ", 636 ,J0220,  ,  
ALGNT/OTH FIB GELL >16</=48 SQ, $200 , 270 ,A6197,  ,  
ALGNT/OTH FIB GELL DRS FIL-6IN, $200 , 270 ,A6199,  ,  
ALGNT/OTH FIB GELL PAD >48 SQ, $200 , 270 ,A6198,  ,  
ALGNT/OTH FIB GELL PAD 16 SQ/<, $200 , 270 ,A6196,  ,  
ALKALIN BATT COCHLR IMPL ANY SZ RPL, $200 , 274 ,L8622,  ,  
ALKALOIDS URINE QUANTITATIVE, $164 , 300 ,82101,  ,  
ALL DIALYSIS HOME CARE INCL.PROF A LAB S, $225 , 820 ,Z6036,  ,  
ALL DIALYSIS W TRAIN HOME CARE XCL PROF, $225 , 820 ,Z6042,  ,  
ALL DIALYSIS W TRAIN HOME CARE-XCL PROF, $225 , 820 ,Z6040,  ,  
ALL DIALYSIS W TRAIN.HOME CARE INCL PROF-Z6008, $697 , 820 ,Z6008,  ,  
ALL DIALYSIS W TRAIN.HOME CARE INCL PROF-Z6038, $225 , 820 ,Z6038,  ,  
ALL DIALYSIS W TRAIN.HOME CARE/SCL PROF, $648 , 820 ,Z6012,  ,  
ALL DIALYSIS W TRAIN.HOME CARE/XCL PROF, $627 , 820 ,Z6014,  ,  
ALL DIALYSIS W TRAIN.HOME CARE-INCL PROF, $676 , 820 ,Z6010,  ,  
ALL ELEM OF MAX STERILE BARRIER TECHNQ FLLWD, $25 , 999 ,6030F,  ,  
ALL ENDOSKEL LOW EXT PROSTH AXIAL ROTAT UNIT ADJ," $1,700 ", 274 ,L5984,  ,  
ALL ENDOSKEL LOW EXTREM PROSTH DYN PROSTH PYLN, $620 , 274 ,L5985,  ,  
ALL EXOSKEL LOW EXTREM PROSTH AXIAL ROTAT UNIT," $1,538 ", 274 ,L5982,  ,  
ALL LOW EXTREM PROSTH FT EXTERNAL KEEL SACH FOOT, $450 , 274 ,L5970,  ,  
ALL LOW EXTREM PROSTH MULTI-AXIAL ROTATION UNIT," $1,560 ", 274 ,L5986,  ,  
ALL LOWER EXTREM PROS SACH FOOT REPLACEMENT ONLY," $1,640 ", 274 ,L5971,  ,  
ALL LOWER EXTREM PROSTH FLEX-WALK SYSTEM/EQUAL," $5,832 ", 274 ,L5981,  ,  
ALL LOWER EXTREM PROSTH FT MULTI-AXIAL ANK/FOOT," $1,160 ", 274 ,L5978,  ,  
ALL LOWER EXTREM PROSTH FT SINGLE AXIS ANK/FOOT, $900 , 274 ,L5974,  ,  
ALL LOWER EXTREM PROSTHESES ENERGY STORING FOOT," $1,600 ", 274 ,L5976,  ,  
ALL LOWER EXTREMITY PROSTHESES FLEX-FOOT SYSTEM," $9,560 ", 274 ,L5980,  ,  
ALL LOWER EXTREMITY PROSTHESES FOOT FLEX KEEL, $837 , 274 ,L5972,  ,  
ALL LOWER EXTREMITY PROSTHESES SHOULDER HARNESS," $1,447 ", 274 ,L5699,  ,  
ALL LW EXTRM PRSTH COMB 1 AXIS ANK&FLXBL KEEL FT, $829 , 274 ,L5975,  ,  
ALL LW EXTRM PRSTH MX-AXL ANK DYN RSPN FT 1 PECE," $6,560 ", 274 ,L5979,  ,  
ALL LW XTRM PRSTH SHNK FT SYS W/VRTCL LOAD PYLN," $12,573 ", 274 ,L5987,  ,  
ALL SPECIFIED THROMBOEMBOLIC RISK FACTORS ASSESSED (AFIB), $25 , 999 ,1180F,  ,  
ALLERG IGG QUANT/SEMIQUANT EA, $29 , 300 ,86001,  ,  
ALLERG IMM TX 1 STING INSECT, $200 , 510 ,95130,  ,  
ALLERG IMM TX 2 STING INSECTS, $200 , 510 ,95131,  ,  
ALLERG IMM TX 3 STING INSECTS, $200 , 510 ,95132,  ,  
ALLERG IMM TX 4 STING INSECTS, $200 , 510 ,95133,  ,  
ALLERG IMM TX 5 STING INSECTS, $200 , 510 ,95134,  ,  
ALLERG IMM TX SNGL/MX ANTIG, $300 , 510 ,95165,  ,  
ALLERG IMM TX WHOLE BODY, $176 , 510 ,95170,  ,  
ALLERGEN SPECIFIC IGG QUAN/SEMIQUAN EA ALLERGEN - SO, $29 , 300 ,86001,  ,  
ALLERGY IMMUNOTHERAPY 2+ INJ, $118 , 510 ,95117,  ,  
ALLERGY IMMUNOTHERPY SNGL INJ, $118 , 510 ,95115,  ,  
ALLERGY PATCH TESTS, $166 , 924 ,95044,  ,  
ALLERGY SKIN TESTS, $140 , 924 ,95028,  ,  
ALLG SPEC IGE QL MLT ALLG SCN, $200 , 300 ,86005,  ,  
ALLG SPEC IGE QN/SEMI QN EA, $35 , 300 ,86003,  ,  
ALLG SPEC IGE QN/SEMI QN EA - SO, $35 , 300 ,86003,  ,  
ALLG TEST PERQ & IC DRUG/BIOL IMMED REACT W/ I&R, $400 , 924 ,95018,  ,  
ALLG TSTG PERQ & IC VENOMS IMMED REACT W/ I&R, $210 , 924 ,95017,  ,  
ALLIED PROF NEC -TRAVEL MILEAGE-ONEWAY, $7 , 920 ,Z5412,  ,  
ALLIED PROF. NEC-PROG/CL CONSULT-HR, $152 , 920 ,Z5408,  ,  
ALLIED PROF. NECTELEP CONSULT  15 MIN, $34 , 920 ,Z5406,  ,  
ALLIED PROFESSIONAL NEC -TRAVEL TIME HR, $92 , 920 ,Z5410,  ,  
ALLOGENEIC LYMPHOCYTE INFUSIONS," $47,325 ", 510 ,38242,  ,  
ALLOGRAFT FOR SPINE SURGERY ONLY MORSELIZED, $500 , 360 ,20930,  ,  
ALLOGRAFT FOR SPINE SURGERY ONLY STRUCTURAL, $423 , 360 ,20931,  ,  
ALPHA 1 PROTEINASE INHIBITOR, $40 , 636 ,J0256,  ,  
ALPHA-1-ANTITRYPSIN PHENO, $141 , 300 ,82104,  ,  
ALPHA-1-ANTITRYPSIN TOTAL, $74 , 300 ,82103,  ,  
ALPHA-1-ANTITRYPSIN TOTAL - SO, $74 , 300 ,82103,  ,  
ALPHA-FETOPROTEIN AMNIOTIC FLUID, $92 , 300 ,82106,  ,  
ALPHA-FETOPROTEIN L3, $352 , 300 ,82107,  ,  
ALPHA-FETOPROTEIN SERUM, $92 , 300 ,82105,  ,  
ALPROSTADIL FOR INJECTION, $20 , 636 ,J0270,  ,  
ALPROSTADIL URETHRAL SUPPOS, $20 , 636 ,J0275,  ,  
ALS ROUTINE DISPOSABL SUPPLIES, $500 , 540 ,A0398,  ,  
ALS SPEC SRV DISP SUPP; ESOPH, $500 , 540 ,A0396,  ,  
ALS SPEC SRV DISP SUPP;IV DRUG, $500 , 540 ,A0394,  ,  
ALS SPEC SRV DISP SUPPL;DEFIB, $500 , 540 ,A0392,  ,  
ALTEPLASE RECOMBINANT," $10,844 ", 636 ,J2997,  ,  
ALTERNATIVE LONG-TERM CONTROL MEDICATION RXD, $25 , 999 ,4144F,  ,  
ALVEOL - OPEN RDUC STBL TEETH, $200 , 512 ,D7770,  ,  
ALVEOL CLOS RDUC STBL TEETH, $200 , 512 ,D7771,  ,  
ALVEOLECT W/CURET OSTEIT/SEQEC," $7,438 ", 361 ,41830,  ,  
ALVEOL-OP RDU MAY W/STBL TEETH, $200 , 512 ,D7671,  ,  
ALVEOLOPLASTY EACH QUADRANT," $7,438 ", 361 ,41874,  ,  
ALVEOLOPLASTY NOT W/EXTRACTIONS 4/> TEETH/SPACE, $200 , 512 ,D7320,  ,  
ALVEOLOPLASTY W/EXTRACTION 4/> TEETH/SPACE QUAD, $200 , 512 ,D7310,  ,  
ALVEOLOPLSTY CONJNC XTRCT 1-3 TEETH, $200 , 512 ,D7311,  ,  
ALVEOLOPLSTY NOT W/XTRCT 1-3 TEETH, $200 , 512 ,D7321,  ,  
ALVEOLUS-CLOSED REDUCTION MAY INCL W/STABILIZATION TEETH, $204 , 512 ,D7670,  ,  
AMALGAM-1 SURFACE PRIM/PERM, $265 , 512 ,D2140,  ,  
AMALGAM-2 SURFACES PRIM/PERM, $326 , 512 ,D2150,  ,  
AMALGAM-3 SURFACES PRIM/PERM, $387 , 512 ,D2160,  ,  
AMALGAM-4/> SURFACES PRIM/PERM, $407 , 512 ,D2161,  ,  
AMANTADINE HCL 100MG ORAL, $15 , 636 ,G9017,  ,  
AMANTADINE HCL ORAL BRAND, $20 , 636 ,G9033,  ,  
AMB | MILEAGE, $6 , 540 ,X0216,  ,  
AMB | UNLISTED, $225 , 540 ,X0222,  ,  
AMB BP MONITOR; RECORDING ONLY, $281 , 480 ,93786,  ,  
AMB BP MONITR; SCAN ANAL W/RPT, $281 , 480 ,93788,  ,  
AMB INFUS PUMP 1/MX CHAN ELE/B, $373 , 290 ,E0781,  ,  
AMB INFUS PUMP MECH > = 8 HRS," $1,539 ", 290 ,E0779,  ,  
AMB INFUS PUMP MECH REUSE<8HR, $83 , 290 ,E0780,  ,  
"AMB MIL,ONE WAY PER MI AC/LTC TRANS ONLY", $15 , 540 ,X0402,  ,  
AMB OUTSDE ST PER MLE (M'CAID), $7 , 540 ,A0021,  ,  
AMB SERV ADV LIFE SUP NON-ER, $500 , 540 ,A0426,  ,  
AMB SERV ADV LIFE SUPPORT ER, $500 , 540 ,A0427,  ,  
AMB SERV BASIC LIFE SUP NON-ER, $500 , 540 ,A0428,  ,  
AMB SERV BASIC LIFE SUPPRT ER, $500 , 540 ,A0429,  ,  
AMB SERV NEONATL BASE ER 1 WAY, $500 , 540 ,A0225,  ,  
AMB SRV CON AIR TRANS 1 W-FIX," $12,750 ", 540 ,A0430,  ,  
AMB SRV CONV AIR TRAN 1 W-ROT," $18,000 ", 540 ,A0431,  ,  
AMB TRACT DEVICE ALL TYPES EA, $200 , 290 ,E0830,  ,  
AMBL BLD PRESS W/TAPE&/DISK 24/> HR ALYS I&R, $185 , 920 ,93784,  ,  
AMBUL ALS/BLS O2 & O2 SUP LIFE, $500 , 540 ,A0422,  ,  
AMBULANC WAIT TIME ALS/BLS 1/2, $500 , 540 ,A0420,  ,  
AMBULANCE RESPONSE AND TREATMENT NO TRANSPORT, $500 , 540 ,A0998,  ,  
"AMBULANCE SERVICE, BASIC LIFE SUPPORT", $473 , 540 ,X0030,  ,  
AMBULAT BLOOD PRESS MONTR TAPE&/DISK 24/> HR REVIEW W/I&R, $62 , 480 ,93790,  ,  
AMBULATORY SETTING SUBSTANCE, $285 , 944 ,S9475,  ,  
AMIKACIN - SO, $90 , 300 ,80150,  ,  
AMIKACIN SULFATE INJECTION, $40 , 636 ,J0278,  ,  
AMINES VAGINAL FLUID QUALITATV, $21 , 300 ,82120,  ,  
AMINO ACIDS 1 QUANTITATIVE EACH SPECIMEN, $93 , 300 ,82131,  ,  
AMINO ACIDS 2-5 QN EA SPEC, $93 , 300 ,82136,  ,  
AMINO ACIDS 6+ QN EA SPEC, $161 , 300 ,82139,  ,  
AMINO ACIDS 6+ QN EA SPEC - SO, $161 , 300 ,82139,  ,  
