Itemcode,Description,CDM Revenue Code,CDM Hcpcs,CDM Modifier,Gross Charge,Cash Price,SHS OUTPATIENT [108130006],Note
32010602,HC DXA BONE DENSITY AXIAL WITH VFA,320,77085,,$149.00,$104.30,,
35010033,HC 3D RENDERING W/POSTPROCESS,350,76377,,"$1,932.00","$1,352.40",$840.00,
36010134,HC INJECTION JAW JOINT X-RAY,361,21116,,"$1,601.00","$1,120.70",$614.00,
36010380,HC AO CERB CERV ARCH UNI SEL INT,361,36224,,"$25,325.00","$17,727.50","$14,901.00",
36110037,HC SEL CATH PLCM 3RD ORD,361,36217,,"$23,589.00","$16,512.30","$14,610.00",
36110120,HC INJECTION FOR URETER X-RAY THRU CATH,361,50684,,"$1,534.00","$1,073.80",$928.00,
36110123,HC INJECTION FOR BLADDER X-RAY RETROGRADE,361,51610,,"$2,365.00","$1,655.50",$906.00,
36110128,HC INJECT FOR SPINE DISK X-RAY CERVICAL/THORACIC,361,62291,,"$3,918.00","$2,742.60","$1,435.00",
36110402,HC PLACE CATHETER IN AORTA,361,36200,,"$8,891.00","$6,223.70","$5,516.00",
36110455,HC INJ W/FLUOR EVAL CV DEVICE,361,36598,,"$1,187.00",$830.90,$698.00,
36111129,HC NONSLCTV CATH THOR AORTA ANGIO INTR/XTRCRANL ART,361,36221,,"$15,398.00","$10,778.60","$9,061.00",
36111132,HC SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART,361,36224,,"$25,325.00","$17,727.50","$14,901.00",
36111135,HC SLCTV CATH XTRNL CAROTID ANGIO XTRNL CAROTD CIRC,361,36227,,"$26,639.00","$18,647.30","$16,527.00",
36114004,HC CPV BI 1ST ORDER RENAL ANGIO,361,36252,,"$15,398.00","$10,778.60","$9,061.00",
36114020,HC REMOVAL DUCT GLBLDR CALCULI,361,47544,,"$15,777.00","$11,043.90","$9,298.00",
36119071,HC PERQ DEV SOFT TISS 1ST IMAG,361,10035,,"$3,497.00","$2,447.90","$2,057.00",
36119092,"HC NJX PX NFROSGRM &/URTRGRM, NEW ACCESS",361,50430,,"$3,694.00","$2,585.80","$2,173.00",
40210028,HC US MIDDLE CEREBRAL ARTERY ECHO,402,76821,,$417.00,$291.90,$246.00,
40210048,HC ECHO GUIDE FOR ARTERY REPAIR,402,76936,,"$1,525.00","$1,067.50",$897.00,
32010140,HC XR CONTRAST HIP,320,73525,,"$2,902.00","$2,031.40","$1,707.00",
32010254,HC XR LYMPH VESSEL ARM/LEG,320,75801,,"$2,902.00","$2,031.40","$1,707.00",
32010257,HC XR LYMPH VESSEL TRUNK BILAT,320,75807,,"$15,398.00","$10,778.60","$9,061.00",
32010282,HC XR VEIN HEPATIC W/ HEMODYN EVAL,320,75889,,"$15,398.00","$10,778.60","$9,061.00",
32010290,HC REMOVE CVA LUMEN OBSTRUCT,320,75902,,"$2,091.00","$1,463.70","$1,297.00",
32010331,HC FLUORO LOC FOR NDL BX/ASPIR,320,77002,,$703.00,$492.10,$536.00,
36012012,HC RENAL ART 2ND/3RD ORD COMP UNILAT,361,36253,,"$25,325.00","$17,727.50","$14,901.00",
36110121,HC INJECTION FOR URETER X-RAY,361,50690,,"$2,312.00","$1,618.40",$883.00,
36110126,HC INJECTION FOR MYELOGRAM,361,62284,,"$2,102.00","$1,471.40","$1,944.00",
36110388,HC PLACE CATHETER IN VEIN,361,36010,,"$5,630.00","$3,941.00","$3,493.00",
36111130,HC SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART,361,36222,,"$15,398.00","$10,778.60","$9,061.00",
36114005,HC CPV UNI 2ST ORDER RENAL ANGIO,361,36253,,"$25,325.00","$17,727.50","$14,901.00",
92010056,HC LIVER ELASTOGRAPHY,920,91200,,$417.00,$291.90,$246.00,
32010077,HC XR MYELOGRAPHY THORACIC,320,72255,,"$2,902.00","$2,031.40","$1,707.00",
32010080,HC XR EPIDUROGRAPHY,320,72275,,"$1,224.00",$856.80,"$1,131.00",
32010227,HC AORTOGRAPHY THORACIC BY SERIAL,320,75605,,"$25,325.00","$17,727.50","$14,901.00",
32010239,HC ANGIOGRAM SPINE,320,75705,,"$25,325.00","$17,727.50","$14,901.00",
32010244,HC XR ARTERY VISCERAL,320,75726,,"$25,325.00","$17,727.50","$14,901.00",
32010261,HC XR VEIN ARMS/LEGS BILAT,320,75822,,"$5,709.00","$3,996.30","$3,360.00",
32010264,HC XR VEIN KIDNEY,320,75831,,"$15,398.00","$10,778.60","$9,061.00",
32010267,HC XR VEIN ADRENAL GLANDS BILAT,320,75842,,"$25,325.00","$17,727.50","$14,901.00",
32010299,HC XR PLACE PROX EXT THOR AORTA,320,75958,,"$22,490.00","$15,743.00","$13,953.00",
32010603,HC VERTEB FRACTURE ASSESSMENT VIA DXA,320,77086,,$462.00,$323.40,$140.00,
36010101,HC INJECT FOR LYMPHATIC X-RAY,360,38790,,$680.00,$476.00,$411.00,
36010383,HC AO EXTN CAR UNI SEL EXTN ADDON,360,36227,,"$26,639.00","$18,647.30","$16,527.00",
36110130,HC INJ FOR SACROILIAC JT ANESTH,361,27096,,"$3,461.00","$2,422.70","$1,304.00",
36110397,HC INTRO CATH EXTRM ART,361,36140,,"$8,253.00","$5,777.10","$5,119.00",
36110403,HC PLACE CATHETER IN THOR/BRA ARTERY,361,36215,,"$9,217.00","$6,451.90","$5,718.00",
36110408,HC ABD/PELVIC ANGIO 1ST ORDER,361,36245,,"$7,173.00","$5,021.10","$4,450.00",
36111133,HC SLCTV CATH SUBCLAVIAN ART ANGIO VERTEBRAL ARTERY,361,36225,,"$15,398.00","$10,778.60","$9,061.00",
36111136,HC SLCTV CATH INTRCRNL BRNCH ANGIO INTRL CAROT/VERT,361,36228,,"$26,639.00","$18,647.30","$16,527.00",
36119072,HC PERQ DEV SOFT TISS ADDL IMAG,361,10036,,"$3,205.00","$2,243.50","$1,889.00",
36119093,"HC NJX PX NFROSGRM &/URTRGRM, EXISTING ACCESS",361,50431,,"$3,694.00","$2,585.80","$2,173.00",
40210076,HC US UMBILICAL ARTERY ECHO,402,76820,,$417.00,$291.90,$246.00,
92110006,HC TCD EMBOL DETECT W/O INJ,921,93892,,$774.00,$541.80,$455.00,
32010247,HC XR ARTERY PELVIS SELECTIVE,320,75736,,"$25,325.00","$17,727.50","$14,901.00",
32010251,HC ANGIO INTERNAL MAMMARY,320,75756,,"$15,398.00","$10,778.60","$9,061.00",
32010270,HC XR VEIN EPIDURAL,320,75872,,"$5,709.00","$3,996.30","$3,360.00",
32010280,HC XR VEIN PERC TRANSHEP,320,75885,,"$15,398.00","$10,778.60","$9,061.00",
32010283,HC XR VEIN HEPATIC W/O HEMODYN EVAL,320,75891,,"$15,398.00","$10,778.60","$9,061.00",
32010328,HC UNLISTED FLUORO PROCEDURE,320,76496,,$417.00,$291.90,$246.00,
36010107,HC IDENTIFY SENTINEL NODE,361,38792,,"$2,095.00","$1,466.50",$740.00,
36011001,HC INJECTION FOR ELBOW X-RAY,361,24220,,$883.00,$618.10,$534.00,
36110411,HC ABD/PELVIC ANGIO ADDT,361,36248,,"$6,962.00","$4,873.40","$4,312.00",
36110581,HC RENAL ARTERY 1ST ORD W/S&I; UNILATERAL,361,36251,,"$15,398.00","$10,778.60","$9,061.00",
36112007,HC HIP ARTHROGRAM PROC BIL,361,27093,50,$965.00,$675.50,$584.00,
36114006,HC CPV BI 2ST ORDER RENAL ANGIO,361,36254,,"$15,398.00","$10,778.60","$9,061.00",
36119079,"HC INJECTION FOR CHOLANGIOGRAM, NEW ACCESS",361,47532,,"$18,759.00","$13,131.30","$11,038.00",
48110224,"HC ILIAC ART ANGIO,CARDIAC CATH",481,G0278,,"$8,242.00","$5,769.40","$7,621.00",
32010097,HC XR CONTRAST SHOULDER,320,73040,,"$2,902.00","$2,031.40","$1,707.00",
32010228,HC AORTOGRAPHY ABDOMINAL BY SERIAL,320,75625,,"$15,398.00","$10,778.60","$9,061.00",
32010255,HC XR LYMPH VESSEL ARMS/LEGS BILAT,320,75803,,"$5,709.00","$3,996.30","$3,360.00",
32010262,HC XR VEIN INFERIOR VENA CAVA,320,75825,,"$15,398.00","$10,778.60","$9,061.00",
32010287,HC FOLLOW-UP ANGIOGRAPHY W/ EXISTING CATH,320,75898,,"$5,709.00","$3,996.30","$3,360.00",
32010297,HC XR ENDOVASC THOR AORTA REPAIR,320,75956,,"$29,985.00","$20,989.50","$18,604.00",
32010332,HC FLUOROGUIDE FOR SPINE INJECT,320,77003,,"$1,788.00","$1,251.60",$566.00,
32010523,HC AORTOGRAPHY ABDOMINAL INTRAOPERATIVE,320,75625,,"$15,398.00","$10,778.60","$9,061.00",
36010133,HC INJECTION FOR SHOULDER X-RAY,361,23350,,$873.00,$611.10,$529.00,
36010324,HC INJECTION FOR SALIVARY X-RAY,360,42550,,$432.00,$302.40,$262.00,
36010379,HC AO CERB ARCH UNI SEL COMMON,361,36223,,"$25,325.00","$17,727.50","$14,901.00",
36110122,HC INJECTION FOR BLADDER X-RAY,361,51600,,"$1,722.00","$1,205.40",$660.00,
36110127,HC INJECT FOR SPINE DISK X-RAY LUMBAR,361,62290,,"$3,730.00","$2,611.00","$1,558.00",
36111131,HC SLCTV CATH CAROTID/INNOM ART ANGIO INTRCRANL ART,361,36223,,"$25,325.00","$17,727.50","$14,901.00",
36111134,HC SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY,361,36226,,"$25,325.00","$17,727.50","$14,901.00",
32010078,HC XR MYELOGRAPHY LUMBAR,320,72265,,"$2,902.00","$2,031.40","$1,707.00",
32010240,HC XR ARTERY ARM/LEG,320,75710,,"$15,398.00","$10,778.60","$9,061.00",
32010245,HC XR ARTERY ADRENAL GLAND,320,75731,,"$5,709.00","$3,996.30","$3,360.00",
32010265,HC XR VEIN KIDNEYS BILAT,320,75833,,"$15,398.00","$10,778.60","$9,061.00",
32010268,HC XR VEIN SINUS/JUGULAR,320,75860,,"$15,398.00","$10,778.60","$9,061.00",
32010300,HC XR PLACE DIST EXT THOR AORTA,320,75959,,"$29,985.00","$20,989.50","$18,604.00",
32010465,HC RADIOLOGY UNLISTED PROCEDURE,320,76499,,$417.00,$291.90,$246.00,
35010032,HC 3D RENDER W/O POSTPROCESS,350,76376,,$470.00,$329.00,$277.00,
36010385,HC AO VERT ARCH UNI SEL SUBCLV,361,36225,,"$15,398.00","$10,778.60","$9,061.00",
36011002,HC HIP ARTHROGRAM PROC,361,27093,,$965.00,$675.50,$584.00,
36110404,HC BRACHIOCEPHALIC ANGIO 2ND ORDER,361,36216,,"$20,013.00","$14,009.10","$12,397.00",
36110409,HC ABD/PELVIC ANGIO 2ND ORDER,361,36246,,"$20,013.00","$14,009.10","$12,397.00",
92110007,HC TCD EMBOL DETECT W/ INJ,921,93893,,$417.00,$291.90,$246.00,
30013010,HC VITAMIN D 25 HYDROXY,300,82306,,$349.00,$244.30,,
30013016,HC ASSAY OF CRYOGLOBULIN,300,82595,,$77.00,$53.90,,
30013022,HC THIAMINE VITAMIN B 1,300,84425,,$250.00,$175.00,,
30013084,HC ASSAY OF BREATH ETHANOL,300,82075,,$259.00,$181.30,,
30013181,HC ESTRONE TMS(ARUP),300,82679,,,$0.00,,
30013587,HC ZACID HB ELECTRO REFLEX,300,83020,,,$0.00,,
30015364,HC LAMBDA QT FR LT CHAINS,300,83883,,$161.00,$112.70,,
30110082,HC PROTEIN TOTAL XCPT REFRACTOMETRY URINE #,301,84156,,$43.00,$30.10,,
30110321,HC ASSAY OF TRIIODOTHYRONINE T3 FREE,301,84481,,$86.00,$60.20,,
30110341,HC BLOOD GASES ANY COMBINATION PH PCO2 PO2 CO2 HCO3 POCT,301,82803,,$144.00,$100.80,,
30110344,HC ASSAY OF LACTATE POCT,301,83605,,$126.00,$88.20,,
30110454,HC COL-CHR/MS NONDRUG ANALYTE NES QUAL/QUAN EA SPEC,301,82542,,,$0.00,,
30110457,HC ALBUMIN SERUM PLASMA/WHOLE BLOOD,301,82040,,$58.00,$40.60,,
30110461,HC HPYLORI BREATH ANAL UREASE ACT NON-RADACT ISTOPE,301,83013,,,$0.00,,
30110488,HC PROTEIN WESTRN BLOT BLOOD/OTH FLU IMMUNOLOGICAL,301,84182,,,$0.00,,
30110492,HC PROTEIN WESTRN BLOT BLOOD/OTH FLU IMMUNOLOGICAL,301,84182,,,$0.00,,
30110793,HC  TRANSFERASE ALANINE AMINO ALT SGPT,301,84460,,$63.00,$44.10,,
30112003,HC ASSAY OF SERUM ALBUMIN,301,82040,,$58.00,$40.60,,
30112006,HC CREATINE MB FRACTION,301,82553,,$136.00,$95.20,,
30112024,HC NATRIURETIC PEPTIDE,301,83880,,$399.00,$279.30,,
30112030,HC CHORIONIC GONADOTROPIN QUAL,301,84703,,$88.00,$61.60,,
30112033,HC BLOOD METHEMOGLOBIN ASSAY,301,83050,,$86.00,$60.20,,
30112089,HC SEROTONIN,301,84260,,$365.00,$255.50,,
30112092,HC ASSAY OF PROGESTERONE,301,83498,,$319.00,$223.30,,
30112100,HC ASSAY OF INSULIN,301,83525,,$135.00,$94.50,,
30112115,HC TESTOSTERONE TOTAL,301,84403,,$304.00,$212.80,,
30112118,HC THYROXINE TOTAL,301,84436,,$81.00,$56.70,,
30112125,HC ASSAY OF THYROID (T3 OR T4),301,84479,,$77.00,$53.90,,
30112165,HC PROSTATE SPECIFIC ANTIGEN FREE,301,84154,,$217.00,$151.90,,
30112171,HC ASSAY OF CARNITINE,301,82379,,$65.00,$45.50,,
30112183,HC BILE ACIDS TOTAL,301,82239,,$202.00,$141.40,,
30112256,HC ASSAY OF CSF PROTEIN,301,83873,,$203.00,$142.10,,
30112261,HC UREA-N CLEARANCE TEST,301,84545,,$73.00,$51.10,,
30112332,HC PH URINE,301,83986,,$35.00,$24.50,,
30112349,HC ASSAY OF BLOOD FATTY ACIDS,301,82725,,$117.00,$81.90,,
30112450,HC COL-CHR/MS NONDRUG ANALYTE NES QUAL/QUAN EA SPEC,301,82542,,$213.00,$149.10,,
30112482,"HC AMINO ACIDS,PLASMA QUANTATIVE",301,82139,,$65.00,$45.50,,
30112502,HC GLIADIN ANTIBODY IGG,301,83516,,,$0.00,,
30112671,HC AMYLASE (BODY FLUID),301,82150,,$77.00,$53.90,,
30112695,HC BUN (BLOOD UREA NITROGEN),301,84520,,$46.00,$32.20,,
30112722,HC GLYCOHEMOGLOBIN,301,83036,,$114.00,$79.80,,
30112735,HC LDH (BODY FLUID),301,83615,,$71.00,$49.70,,
30112799,HC ACETYL RECEP MOD,301,83519,,,$0.00,,
30112838,HC ALDOSTERONE (SERUM),301,82088,,$479.00,$335.30,,
30112847,HC ALPHA 1 ANITITRYPSIN TOTAL,301,82103,,,$0.00,,
30112984,HC ASSAY PORPHOBILINOGEN,301,84110,,$96.00,$67.20,,
30112991,HC ASSAY URINE PORPHYRINS,301,84120,,$174.00,$121.80,,
30113017,HC BETA-HYDROXYBUTRIC ACID,301,82010,,$96.00,$67.20,,
30113163,HC CREATININE URINE RANDOM,301,82570,,$62.00,$43.40,,
30113340,HC ASSAY OF GLUTAMYLTRASE GAMMA,301,82977,,$85.00,$59.50,,
30113477,HC IG-A-SERUM,301,82784,,,$0.00,,
30113492,HC IMMUNOASSAY ANALYTE QUANT RADIOIMMUNOASSAY #,301,83519,,$150.00,$105.00,,
30113588,HC MAGNESIUM RBC,301,83735,,$79.00,$55.30,,
30113597,HC MATERNAL ALPHA-FETOPROTEIN,301,82105,,$197.00,$137.90,,
30113625,HC METANEPHRINES-TOTAL (24HR U),301,83835,,$200.00,$140.00,,
30113799,HC PROSTATE SPEC ANTIGEN(PSA)TOTAL,301,84153,,$217.00,$151.90,,
30113806,HC PROTEIN 24HR UR,301,84156,,$43.00,$30.10,,
30113816,HC PROTEIN ELECTROPHORESIS-UR RANDOM,301,84166,,$210.00,$147.00,,
30114106,HC SPECTROPHOTOMETRY NOT SPECIFIED,301,84311,,$83.00,$58.10,,
30114135,HC T3 TOTAL,301,84480,,,$0.00,,
30114225,HC UREA NITROGEN-UR RANDOM,301,84540,,$55.00,$38.50,,
30114250,HC VANILLYMANDELIC ACID,301,84585,,$182.00,$127.40,,
30210115,HC ACE-CSF,300,82164,,$173.00,$121.10,,
30011424,HC BILIRUBIN TOTAL TRANSCUTANEOUS,300,88720,,$55.00,$38.50,,
30011740,HC PSA SCREENING  MEDICARE,300,G0103,,$166.71,$116.69,,**
30011994,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,300,83520,,$152.00,$106.40,,
30013004,HC ASSAY OF CERULOPLASMIN,300,82390,,$126.00,$88.20,,
30013019,HC ASSAY OF ALDOLASE,300,82085,,$114.00,$79.80,,
30013024,HC T3 REVERSE,300,84482,,$186.00,$130.20,,
30013034,HC ORGANIC ACIDS TOTAL QUANTITATIVE EACH SPECIMEN,300,83918,,,$0.00,,
30013041,HC ALPHA-1-ANTITRYPSIN PHENO,300,82104,,,$0.00,,
30013227,HC TESTO FREE FEM-CHILD,300,84402,,,$0.00,,
30013774,HC CALPROTECTIN FECAL,300,83993,,$231.00,$161.70,,
30014087,HC ACH RECEPTOR (MUSC) BINDING AB,300,83519,59,$150.00,$105.00,,
30014526,HC CENTROMERE B ANTIBODY,300,83516,,$136.00,$95.20,,
30014992,HC GLUCOSE TOLERANCE 1 HR,300,82950,,,$0.00,,
30015575,HC NI METABOLIC SCREEN,300,84030,,$113.00,$79.10,,**
30015674,HC PH GASTRIC,300,83986,,$35.00,$24.50,,
30016042,HC THYRO-THYROGLOBULIN,300,84432,,$154.01,$107.81,,**
30110253,HC ALPHA-1-ANTITRYPSIN PHENOTYPE,301,82104,,$125.00,$87.50,,
30110315,HC PORPHYRINS FECES QUANTITATIVE,301,84126,,$175.00,$122.50,,
30110326,HC BIOTINIDASE EACH SPECIMEN,301,82261,,$65.00,$45.50,,
30110329,HC GALACTOSE-1-PHOSPHATE URIDYL TRANSFERASE SCREEN,301,82776,,$99.00,$69.30,,
30110332,HC ASSAY OF UREA NITROGEN QUANTITATIVE POCT,301,84520,,$46.00,$32.20,,
30110335,HC GLUCOSE QUANTITATIVE BLOOD XCPT REAGENT STRIP POCT,301,82947,,$46.00,$32.20,,
30110338,HC CREATININE BLOOD POCT,301,82565,,$60.00,$42.00,,
30110346,HC CALCIUM IONIZED POCT,301,82330,,$161.00,$112.70,,
30110349,HC BLOOD GASES ANY COMBINATION PH PCO2 PO2 CO2 HCO3 POCT,301,82803,,$144.00,$100.80,,
30110441,HC SODIUM SERUM PLASMA OR WHOLE BLOOD POCT,301,82495,,$57.00,$39.90,,
30110445,HC ASSAY OF TROPONIN QUANTITATIVE POCT,301,84484,,$117.00,$81.90,,
30110467,HC METHOTREXATE,301,83520,,,$0.00,,
30110474,HC PROTEIN WESTRN BLOT BLOOD/OTH FLU IMMUNOLOGICAL,301,84182,,,$0.00,,
30110485,HC PROTEIN WESTRN BLOT BLOOD/OTH FLU IMMUNOLOGICAL,301,84182,,,$0.00,,
30110573,HC QUANTITATIVE IRON,301,83540,,$77.00,$53.90,,
30110770,HC LIPOPROTEIN BLOOD QUAN NUMBERS & SUBCLASSES #,301,83704,,$175.00,$122.50,,
30112005,HC ASSAY OF LACTIC ACID,301,83605,,$126.00,$88.20,,
30112009,HC ASSAY OF AMYLASE,301,82150,,,$0.00,,
30112013,HC ASSAY OF HAPTOGLOBIN QUANT,301,83010,,$148.00,$103.60,,
30112016,HC SODIUM BLOOD,301,84295,,$57.00,$39.90,,
30112032,HC ALPHA-FETOPROTEIN SERUM,301,82105,,$197.00,$137.90,,
30112037,HC ASSAY OF LEAD,301,83655,,$142.00,$99.40,,
30112041,HC NUCLEOTIDASE 5,301,83915,,$132.00,$92.40,,
30112045,HC PREALBUMIN,301,84134,,$172.00,$120.40,,
30112049,HC ASSAY OF CALCITONIN,301,82308,,$315.00,$220.50,,
30112053,HC ASSAY OF VOLATILES,301,84600,,$190.00,$133.00,,
30112067,HC PROGESTERONE,301,84144,,$242.00,$169.40,,
30112074,HC ASSAY OF FOLIC ACID RBC,301,82747,,$204.00,$142.80,,
30112080,HC ASSAY GROWTH HORMONE (HGH),301,83003,,$195.00,$136.50,,
30112085,HC THYROID STIMULATING IMMUNE GLOBULINS TSI,301,84445,,$599.00,$419.30,,
30112102,HC ASSAY BLOOD CARBON DIOXIDE,301,82374,,$58.00,$40.60,,
30112105,HC ASSAY OF GGT,301,82977,,$85.00,$59.50,,
30112108,HC ASSAY OF AMMONIA,301,82140,,$172.00,$120.40,,
30112111,HC ASSAY OF FERRITIN,301,82728,,$161.00,$112.70,,
30112128,HC ASSAY OF GASTRIN,301,82941,,$208.00,$145.60,,
30112145,HC SUGARS SINGLE QUALITATIVE EACH SPECIMEN,301,84376,,$53.00,$37.10,,
30112155,HC TRYPTASE,301,83520,,$152.00,$106.40,,
30112161,HC PARATHORMONE (PARATHYROID HORMONE),301,83970,,$486.00,$340.20,,
30112195,HC ASSAY OF HOMOCYSTINE,301,83090,,$199.00,$139.30,,
30112218,HC ASSAY OF BETA-2 PROTEIN,301,82232,,$191.00,$133.70,,
30112250,HC ASSAY OF G6PD ENZYME,301,82955,,$114.00,$79.80,,
30112273,HC PH BODY FLUID,301,83986,,$35.00,$24.50,,
30112292,HC ASSAY OF APOLIPOPROTEIN B,301,82172,,$182.00,$127.40,,
30112302,HC IGF BINDING PROTEIN,301,83519,,$150.00,$105.00,,
30112311,HC METHYLMALONIC ACID,301,83921,,$194.00,$135.80,,
30112324,HC CALCIUM,301,82310,,$62.00,$43.40,,
30112361,HC ENZYME CELL ACTIVITY,301,82657,,,$0.00,,
30112371,"HC MERCURY, URINE",301,83825,,$192.00,$134.40,,
30112394,HC PROTEIN TOTAL URINE,301,84156,,$43.00,$30.10,,
30112404,HC CEA,301,82378,,$223.00,$156.10,,
30112425,HC CATECHOLAMINES FRACTIONATED,301,82384,,$205.00,$143.50,,
30112489,HC BILIRUBIN TOT,301,82247,,$55.00,$38.50,,
30112530,HC PROTEINASE 3 AB,301,83516,,$136.00,$95.20,,
30112555,HC BLOOD GASES PH PO2 PCO2,301,82803,,$144.00,$100.80,,
30112592,HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,301,83516,,$136.00,$95.20,,
30112650,HC ESTRONE,301,82679,,$237.00,$165.90,,
30112660,HC TSH,301,84443,,$197.00,$137.90,,
30112698,HC CALCIUM (CA),301,82310,,$62.00,$43.40,,
30112701,HC CHLORIDE (CSF),301,82438,,$45.00,$31.50,,
30112704,HC CPK,301,82550,,$77.00,$53.90,,
30112707,HC CREATININE (RANDOM UR),301,82570,,$62.00,$43.40,,
30112713,HC FSH(FOLLICLE STIMULATE HORMONE),301,83001,,$202.00,$141.40,,
30112744,HC MICROALBUMIN QUANTITATIVE RANDOM,301,82043,,$68.00,$47.60,,
30112752,"HC NEPHELOMETRY, EA ANALYTE",301,83883,,$161.00,$112.70,,
30112756,HC PH (BODY FLUID),301,83986,,$35.00,$24.50,,
30112761,HC PROTEIN (CSF),301,84157,,$43.00,$30.10,,
30112777,HC TESTOSTERONE-TOTAL,301,84403,,,$0.00,,
30112846,HC ALKALINE PTASE,301,84075,,$62.00,$43.40,,
30112850,HC ALPHA FETOPROTEIN,301,82105,,$197.00,$137.90,,
30112871,HC AMINO ACIDS-PLASMA (COH),301,82139,,$65.00,$45.50,,
30112893,HC ANGIOTENSIN CONVERT ENZ+C470(ACE),301,82164,,$173.00,$121.10,,
30112911,HC ANTI-GLIADIN IGG OR IGM,301,83516,,$136.00,$95.20,,
30112997,HC ASSYA-GAMMAGLOBULIN IGE,301,82785,,$194.00,$135.80,,
30113028,"HC BILIRUBIN,TOTAL",301,82247,,,$0.00,,
30113042,HC BLOOD OCCULT PEROXIDASE ACTV QUAL OTHER SOURCES,301,82271,,$39.00,$27.30,,
30113075,HC CALCIUM URINE RANDOM,301,82340,,$71.00,$49.70,,
30113139,HC COPPER-BLOOD,301,82525,,$127.00,$88.90,,
30113147,HC CORTISOL,301,82533,,$192.00,$134.40,,
30113365,HC GLUCOSE TEST 2 HR PP,301,82950,,$56.00,$39.20,,
30113373,HC GLUCOSE FASTING,301,82947,,$46.00,$32.20,,
30113405,HC H PYLORI TEST COLLECTION,301,83014,,,$0.00,,
30113417,HC HEMOGLOBIN A1C CONFIRM,301,83036,,$114.00,$79.80,,
30113422,HC HEMOGLOBIN FRACTION & QUANT,301,83021,,$213.00,$149.10,,
30113491,HC IMMUNOASSAY ANALYTE NOS,301,83520,,,$0.00,,
30113497,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS #,301,83520,,$152.00,$106.40,,
30113511,HC IMMUNOGLOBULIN G (IGG),301,82784,,$110.00,$77.00,,
30113543,HC LACTIC ACID ASSAY,301,83605,,$126.00,$88.20,,
30113579,HC LUTENIZING HORMONE,301,83002,,$205.00,$143.50,,
30113624,HC METANEPHRINES-PLASMA,301,83835,,$200.00,$140.00,,
30113658,HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,301,83516,,$136.00,$95.20,,
30113696,HC NEONATAL HGB FRACTION,301,83020,,$119.00,$83.30,,
30113726,HC ORGANIC ACIDS QUALITATIVE EACH SPECIMEN,301,83919,,$194.00,$135.80,,
30113750,"HC PHOSPHOROUS, URINE (24 HR)",301,84105,,$62.00,$43.40,,
30113825,"HC PROTEIN, 24 HR URINE",301,84156,,$43.00,$30.10,,
30113898,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,301,83520,,$152.00,$106.40,,
30113985,HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,301,83516,,$136.00,$95.20,,
30114063,HC SPECTROPHOTOMETRY ANALYT NOT ELSEWHERE SPECIFIED,301,84311,,$83.00,$58.10,,
30114146,HC TESTOSERONE,301,84403,,$304.00,$212.80,,
30114158,HC THIOPURINE METHYLTRANSF (TMTR),301,82657,,,$0.00,,
30114175,"HC TISSUE TRANSGLUT AB, IGG",301,83516,,$136.00,$95.20,,
30114178,HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,301,83516,,,$0.00,,
30114192,HC TRANSGLUTAMINASE AB IGG,301,83516,,,$0.00,,
30210143,HC IGG SUBCLASSES CHG,300,82787,,$50.00,$35.00,,
30210159,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,302,83520,,$152.00,$106.40,,
30013035,HC ASSAY OF ANDROSTENEDIONE,300,82157,,$344.00,$240.80,,
30013783,HC PLACENTAL ALPHA MICROGLOBULIN 1 QUALITATIVE,300,84112,,$758.00,$530.60,,
30014093,HC ACHR GANGLIONIC NEURONAL ANTIB,300,83519,,$150.00,$105.00,,
30015590,HC N-TYPE CALCIUM CHANNEL AB,300,83519,59,$150.00,$105.00,,
30110327,HC ASSAY OF ESTRADIOL,301,82670,,$329.00,$230.30,,
30110330,HC GLUC BLD GLUC MNTR DEV CLEARED FDA SPEC HOME USE POCT,301,82962,,$22.00,$15.40,,
30110333,HC CALCIUM IONIZED POCT,301,82330,,$161.00,$112.70,,
30110347,HC SODIUM SERUM PLASMA OR WHOLE BLOOD POCT,301,82495,,$57.00,$39.90,,
30110439,HC GLUCOSE QUANTITATIVE BLOOD XCPT REAGENT STRIP POCT,301,82947,,$46.00,$32.20,,
30110442,HC POTASSIUM SERUM PLASMA/WHOLE BLOOD POCT,301,84132,,$54.00,$37.80,,
30110464,HC ASSAY OF ACETYLCHOLINESTERASE,301,82013,,,$0.00,,
30110468,HC PROTEIN WESTRN BLOT BLOOD/OTH FLU IMMUNOLOGICAL,301,84182,,,$0.00,,
30110509,HC ASSAY OF PHENCYCLIDINE,301,83992,,,$0.00,,
30110586,HC ASSAY OF PHOSPHATASE ALKALINE,301,84075,,$62.00,$43.40,,
