Procedure_Description,CPT_Code,Gross_Price,Cash_Price
PF SCOPE KNEE RMV FB,29874,"$1,982.00 ",$991.00 
PF SCOPE KNEE RMV FB,29874,$396.00 ,$198.00 
KNEE ARTHROSCOPY/SURGERY,29875,"$9,786.00 ","$4,893.00 "
PF SCOPE KNEE SYNOVECT LMTD,29875,"$1,844.00 ",$922.00 
PF SCOPE KNEE SYNOVECT LMTD,29875,$369.00 ,$184.50 
SCOPE KNEE SYNOVECT MAJOR,29876,"$8,083.00 ","$4,041.50 "
PF SCOPE KNEE SYNOVECT MAJOR,29876,"$2,250.00 ","$1,125.00 "
SCOPE KNEE DEBR/SHAV ARTIC,29877,"$6,193.00 ","$3,096.50 "
PF SCOPE KNEE DEBR/SHAV ARTIC,29877,"$2,122.00 ","$1,061.00 "
SCOPE KNEE ABRAS ARTHROPLSTY,29879,"$8,083.00 ","$4,041.50 "
PF SCOPE KNEE ABRAS ARTHROPLS,29879,"$2,283.00 ","$1,141.50 "
SCOPE KNEE MENISCECT MED&LAT,29880,"$6,193.00 ","$3,096.50 "
PF SCOP KNEE MENISCECT MED&LA,29880,"$2,386.00 ","$1,193.00 "
PF SCOP KNEE MENISCECT MED&LA,29880,$477.00 ,$238.50 
SCOPE KNEE MENISCECT MED/LAT,29881,"$8,852.00 ","$4,426.00 "
PF SCOP KNEE MENISCECT MED/LA,29881,"$2,216.00 ","$1,108.00 "
PF SCOP KNEE MENISCECT MED/LA,29881,$443.00 ,$221.50 
KNEE ARTHROSCOPY/SURGERY,29882,"$9,568.00 ","$4,784.00 "
PF SCOPE KNEE MENISCUS RPR,29882,"$2,375.00 ","$1,187.50 "
PF SCOPE KNEE MENISCUS RPR,29882,$475.00 ,$237.50 
ARTHROSC KNEE; W MEN REPR,29883,"$12,929.00 ","$6,464.50 "
ARTHROSC KNEE; W MEN REPR,29883,"$2,949.00 ","$1,474.50 "
SCOPE KNEE LYSIS OF ADHES,29884,"$9,276.00 ","$4,638.00 "
PF SCOPE KNEE LYSIS OF ADHES,29884,"$2,112.00 ","$1,056.00 "
PF SCOPE KNEE LYSIS OF ADHES,29884,$422.00 ,$211.00 
SCOPE AIDED ACL RPR/RECONST,29888,"$18,388.00 ","$9,194.00 "
PF SCOPE AIDED ACL RPR/RECONS,29888,"$3,603.00 ","$1,801.50 "
PF SCOPE AIDED ACL RPR/RECONS,29888,$721.00 ,$360.50 
ARTHROSCOPY ANKLE; SMPL DEBRI,29897,"$11,231.00 ","$5,615.50 "
ARTHROSCOPY ANKLE; SMPL DEBRI,29897,"$1,772.00 ",$886.00 
ARTHROSCOPY ANKLE; SMPL DEBRI,29897,$354.00 ,$177.00 
UNLISTED JNT ARTHROSC,29999,$920.00 ,$460.00 
UNLISTED JNT ARTHROSC,29999,$614.00 ,$307.00 
UNLISTED JNT ARTHROSC,29999,$614.00 ,$307.00 
BIOPSY INTRANASAL,30100,$244.00 ,$122.00 
BIOPSY INTRANASAL,30100,"$4,784.00 ","$2,392.00 "
EXC NASAL POLYP(S) EXTENSV,30115,"$9,626.00 ","$4,813.00 "
PF EXC NASAL POLYP(S) EXTENSV,30115,"$1,308.00 ",$654.00 
REM I-NASAL LES INT APPR,30117,"$1,232.00 ",$616.00 
REM I-NASAL LES INT APPR,30117,"$10,105.00 ","$5,052.50 "
EXC INTRANASAL LESN INTERN,30117,"$10,105.00 ","$5,052.50 "
PF EXC INTRANASAL LESN INTERN,30117,"$1,232.00 ",$616.00 
EXCISE INFERIOR TURBINATE,30130,"$10,310.00 ","$5,155.00 "
EXCISE INFERIOR TURBINATE,30130,"$1,438.00 ",$719.00 
RESECT INFERIOR TURBINATE,30140,"$5,300.00 ","$2,650.00 "
PF RESECT INFERIOR TURBINATE,30140,"$1,205.00 ",$602.50 
INS NASAL SEPTL PROSTH BUTTON,30220,$448.00 ,$224.00 
INS NASAL SEPTL PROSTH BUTTON,30220,"$6,374.00 ","$3,187.00 "
REM FB NASAL,30300,$296.00 ,$148.00 
REM FB NTRANASAL; W ANES,30310,"$10,106.00 ","$5,053.00 "
REM FB NTRANASAL; W ANES,30310,$730.00 ,$365.00 
REM FB NTRANASAL; W ANES,30310,$146.00 ,$73.00 
RECONSTRUCTION OF NOSE,30400,"$8,852.00 ","$4,426.00 "
RECONSTRUCTION OF NOSE,30400,"$3,734.00 ","$1,867.00 "
RHINOPLSTY PRIM CMPLT,30410,"$9,235.00 ","$4,617.50 "
PF RHINOPLSTY PRIM CMPLT,30410,"$3,432.00 ","$1,716.00 "
RHINOPLSTY PRIM MAJ SEPTAL,30420,"$11,612.00 ","$5,806.00 "
PF RHINOPLSTY PRIM MAJ SEPTAL,30420,"$4,086.00 ","$2,043.00 "
REPAIR NASAL STENOSIS,30465,"$18,092.00 ","$9,046.00 "
REPAIR NASAL STENOSIS,30465,"$3,560.00 ","$1,780.00 "
SEPTOPLSTY/RESECT SUBMUC,30520,"$3,818.00 ","$1,909.00 "
PF SEPTOPLSTY/RESECT SUBMUC,30520,"$1,710.00 ",$855.00 
REPAIR FITULA; OROMAXILLARY,30580,"$22,911.00 ","$11,455.50 "
REPAIR FITULA; OROMAXILLARY,30580,"$1,710.00 ",$855.00 
CAUTERIZATION INNER NOSE,30801,"$2,941.00 ","$1,470.50 "
CAUTERIZATION INNER NOSE,30801,$523.00 ,$261.50 
REMOVE TONSILS AND ADENOIDS,30802,"$5,086.00 ","$2,543.00 "
PF CAUTERIZATION INNER NOSE,30802,$736.00 ,$368.00 
CONTROL ANT NOSEBLEED SMPL,30901,$483.00 ,$241.50 
PF CONTROL NOSEBLEED ANT SMP,30901,$211.00 ,$105.50 
CNTRL NOSEBLEED ANT SMP,30901,$483.00 ,$241.50 
CONTROL OF NOSEBLEED,30901,$483.00 ,$241.50 
PF CONTROL NOSEBLEED ANT SMP,30901,$211.00 ,$105.50 
CONTROL OF NOSEBLEED,30901,$211.00 ,$105.50 
CNTRL NOSEBLEED ANT CPLX,30903,$426.00 ,$213.00 
THERAPY FRACTURE OF NOSE,30930,"$4,644.00 ","$2,322.00 "
PF THERAPY FRACTURE OF NOSE,30930,$523.00 ,$261.50 
UNLISTED PROCEDURE NOSE,30999,$825.00 ,$412.50 
UNLISTED PROCEDURE NOSE,30999,"$22,354.00 ","$11,177.00 "
UNLISTED PROCEDURE NOSE,30999,"$22,354.00 ","$11,177.00 "
UNLISTED PROCEDURE NOSE,30999,$825.00 ,$412.50 
EXPLORATION MAXILLARY SINUS,31020,"$3,818.00 ","$1,909.00 "
PF EXPLORATION MAXILLARY SINU,31020,$985.00 ,$492.50 
DX NASAL ENDOSCOPY,31231,$233.00 ,$116.50 
DX NASAL ENDOSCOPY,31231,$673.00 ,$336.50 
DX NASAL ENDOSCOPY,31231,$673.00 ,$336.50 
DX NASAL ENDOSCOPY,31231,$233.00 ,$116.50 
DX NASAL ENDOSCOPY,31231,$233.00 ,$116.50 
NASAL/SIN ENDO W/PROC,31237,$651.00 ,$325.50 
NASAL/SIN ENDO W/PROC,31237,"$2,710.00 ","$1,355.00 "
NASAL/SINUS ENDO W/BX,31237,"$2,710.00 ","$1,355.00 "
PF NASAL/SIN ENDO W/PROC,31237,$651.00 ,$325.50 
NASAL ENDO W BLD CNTRL,31238,$575.00 ,$287.50 
NASAL ENDO W BLD CNTRL,31238,"$6,327.00 ","$3,163.50 "
NASAL/SINUS ENDO W/CONCHA BUL,31240,"$5,851.00 ","$2,925.50 "
PF NASAL/SIN ENDO W/CNCHA BUL,31240,$593.00 ,$296.50 
ENDO W/ETHMOIDECT PART,31254,"$7,908.00 ","$3,954.00 "
PF ENDO W/ETHMOIDECT PART,31254,"$1,049.00 ",$524.50 
ENDO W/ETHMOIDECT TOTAL,31255,"$22,208.00 ","$11,104.00 "
PF ENDO W/ETHMOIDECT TOTAL,31255,"$1,562.00 ",$781.00 
ENDO MAXILLARY SINUS ANTROST,31256,"$6,395.00 ","$3,197.50 "
PF ENDO MAXILLRY SINUS ANTROS,31256,$748.00 ,$374.00 
ENDO MAXILLARY SINUS RMV TISS,31267,"$22,208.00 ","$11,104.00 "
PF ENDO MAXILLARY SIN RMV TIS,31267,"$1,227.00 ",$613.50 
NASAL/SIN ENDO W/FRNTL EXPL,31276,"$9,159.00 ","$4,579.50 "
PF NASAL/SIN ENDO W/FRNTL EXP,31276,"$1,978.00 ",$989.00 
"NASAL/SINUS ENDOSCOPY, SURG",31287,"$14,024.00 ","$7,012.00 "
"NASAL/SINUS ENDOSCOPY, SURG",31287,$807.00 ,$403.50 
NASAL ENDO; W REM T SPHEN SIN,31288,"$14,024.00 ","$7,012.00 "
NASAL ENDO; W REM T SPHEN SIN,31288,$932.00 ,$466.00 
SINUS ENDO W/BALLOON DIL MAX,31295,"$14,024.00 ","$7,012.00 "
SINUS ENDO W/BALLOON DIL MAX,31295,$574.00 ,$287.00 
SINUS ENDO W/BALLOON DIL FRON,31296,"$14,024.00 ","$7,012.00 "
SINUS ENDO W/BALLOON DIL FRON,31296,$692.00 ,$346.00 
SINUS SURGERY PROCEDURE,31299,"$5,231.00 ","$2,615.50 "
SINUS SURGERY PROCEDURE,31299,$438.00 ,$219.00 
INTUBATION ENDOTRACHEAL,31500,$612.00 ,$306.00 
PF INTUBATION EMERGEN,31500,$364.00 ,$182.00 
INSERT EMERGENCY AIRWAY,31500,$612.00 ,$306.00 
PF INTUBATION EMERGEN,31500,$364.00 ,$182.00 
INTUBATION/ENDOTRACHEAL,31500,$820.00 ,$410.00 
PF INTUBATION EMERGEN,31500,$364.00 ,$182.00 
PROC RM-TRACHEOSTOMY TUBE REP,31502,$820.00 ,$410.00 
TRACH TUBE CHANGE,31502,$820.00 ,$410.00 
LARYNGOSCOPY DRCT; FOR ASP,31515,"$1,726.00 ",$863.00 
LARYNGOSCOPY DRCT; FOR ASP,31515,$379.00 ,$189.50 
LARYNGOSCOPY DRCT; FOR ASP,31515,$66.00 ,$33.00 
DX LARYNGOSCOPY EXCL NB,31525,$545.00 ,$272.50 
LARYNGOSCOPY W/FB REMOVAL,31530,"$6,083.00 ","$3,041.50 "
LARYNGOSCOPY W/FB REMOVAL,31530,$676.00 ,$338.00 
LARYNGOSCOPY W/BX,31535,"$11,824.00 ","$5,912.00 "
PF LARYNGOSCOPY W/BX,31535,$709.00 ,$354.50 
PF LARYNGOSCOPY W/BX,31535,$142.00 ,$71.00 
LARYNGOSCOPY W/BX & MICRO,31536,"$4,535.00 ","$2,267.50 "
OPERATIVE LARYNGOSCOPY,31540,"$9,110.00 ","$4,555.00 "
OPERATIVE LARYNGOSCOPY,31540,$845.00 ,$422.50 
LARYNSCOP W/TUMR EXC + SCOPE,31541,"$4,535.00 ","$2,267.50 "
PF LARYNSCOP W/TUM EXC&MICRO,31541,"$1,021.00 ",$510.50 
LARYNGO W/INJ TX VOCAL CORD,31570,"$12,025.00 ","$6,012.50 "
PF LARYNGO W/INJ TX VOCAL COR,31570,$775.00 ,$387.50 
LARYNG INJ TX VOC CORD&MICR,31571,"$9,167.00 ","$4,583.50 "
PF LARYNG INJ TX VOC CORD&MIC,31571,$957.00 ,$478.50 
LARGSC W/THER INJECTION,31573,"$6,327.00 ","$3,163.50 "
LARGSC W/THER INJECTION,31573,$707.00 ,$353.50 
LARGSC W/NJX AUGMENTATION,31574,"$2,848.00 ","$1,424.00 "
LARGSC W/NJX AUGMENTATION,31574,"$6,757.00 ","$3,378.50 "
PF LARYNGOSCOPY FLEX DX,31575,$276.00 ,$138.00 
PF LARYNGOSCOPY FLEX DX,31575,$722.00 ,$361.00 
PROC RM-DIAGNOSTIC LARYNGOSCO,31575,$722.00 ,$361.00 
PF LARYNGOSCOPY FLEX DX,31575,$276.00 ,$138.00 
LARYNGOSCOPY FLEX DX,31575,$722.00 ,$361.00 
PF LARYNGOSCOPY FLEX DX,31575,$235.00 ,$117.50 
PF LARYNGOSCOPY FLEX DX,31575,$276.00 ,$138.00 
INCIS WINDPIPE PLANNED,31600,"$6,744.00 ","$3,372.00 "
PF INCIS WINDPIPE PLANNED,31600,"$1,418.00 ",$709.00 
PF INCIS WINDPIPE PLANNED,31600,$284.00 ,$142.00 
INCIS WINDPIPE EMERGENT,31603,"$6,744.00 ","$3,372.00 "
PF INCIS WINDPIPE EMERGENT,31603,$830.00 ,$415.00 
PF INCIS WINDPIPE EMERGENT,31603,$830.00 ,$415.00 
PF INCIS WINDPIPE EMERGENT,31603,$166.00 ,$83.00 
TRACHSTMA REV;SMPL WO FLAP,31613,"$10,310.00 ","$5,155.00 "
TRACHSTMA REV;SMPL WO FLAP,31613,"$1,612.00 ",$806.00 
TRACHSTMA REV;SMPL WO FLAP,31613,$322.00 ,$161.00 
PF TRACHEOBRONCH ESTAB TRACH,31615,$462.00 ,$231.00 
TRACHEOBRONCH ESTAB TRACH,31615,"$1,586.00 ",$793.00 
DX BRONCHOSCOPE/WASH,31622,"$4,745.00 ","$2,372.50 "
DX BRONCHOSCOPE/WASH,31622,$494.00 ,$247.00 
DX BRONCHOSCOPE/BRUSH,31623,"$5,907.00 ","$2,953.50 "
DX BRONCHOSCOPE/BRUSH,31623,$555.00 ,$277.50 
PF DX BRONCHOSCOPE/LAVAGE,31624,$466.00 ,$233.00 
DX BRONCHOSCOPE/LAVAGE,31624,"$4,745.00 ","$2,372.50 "
PF DX BRONCHOSCOPE/LAVAGE,31624,$466.00 ,$233.00 
DX BRONCHOSCOPE/LAVAGE,31624,"$4,745.00 ","$2,372.50 "
PF DX BRONCHOSCOPE/LAVAGE,31624,$466.00 ,$233.00 
DX BRONCHOSCOPE/LAVAGE,31624,$466.00 ,$233.00 
BRONCHOSCOPY WITH BIOPSY,31625,"$5,907.00 ","$2,953.50 "
PF BRONCHOSCOPY W/BX,31625,$644.00 ,$322.00 
BRONCHOSCOPY WITH BIOPSY,31625,"$5,907.00 ","$2,953.50 "
BRONCHOSCOPY WITH BIOPSY,31625,$644.00 ,$322.00 
BRONCHOSCOPY/LUNG BX EACH,31628,"$11,824.00 ","$5,912.00 "
BRONCHOSCOPY WITH BIOPSY,31628,$712.00 ,$356.00 
BRONCHOSCOPY WITH BIOPSY,31629,"$8,878.00 ","$4,439.00 "
BRONCHOSCOPY WITH BIOPSY,31629,$705.00 ,$352.50 
BRONCHOSCOPY/LUNG BX ADDL,31632,$237.00 ,$118.50 
BRONCHOSCOPY/LUNG BX ADDL,31632,$178.00 ,$89.00 
"REMOVE FOREIGN BODY, AIRWAY",31635,"$4,799.00 ","$2,399.50 "
"REMOVE FOREIGN BODY, AIRWAY",31635,$649.00 ,$324.50 
BRONCHOSCOPY CLEAR AIRWAYS,31645,"$4,745.00 ","$2,372.50 "
BRONCHOSCOPY CLEAR AIRWAYS,31645,$557.00 ,$278.50 
"BRONCHOSCOPY, CLEAR AIRWAYS",31645,"$4,745.00 ","$2,372.50 "
"BRONCHOSCOPY, CLEAR AIRWAYS",31645,$557.00 ,$278.50 
BRONCHOSCOPY CLR AIRWAYS,31645,$557.00 ,$278.50 
BRONCH EBUS SAMPLNG 1/2 NODE,31652,"$11,198.00 ","$5,599.00 "
BRONCH EBUS SAMPLNG 1/2 NODE,31652,"$2,481.00 ","$1,240.50 "
NASAL TRACHEAL SUCTION,31720,$857.00 ,$428.50 
DECORTICATION PULM; TOTAL,32220,"$7,017.00 ","$3,508.50 "
DECORTICATION PULM; TOTAL,32220,"$5,263.00 ","$2,631.50 "
PARTIAL REMOVAL OF LUNG,32480,"$6,445.00 ","$3,222.50 "
PF PARTIAL REMOVAL LUNG,32480,"$4,833.00 ","$2,416.50 "
PF PARTIAL REMOVAL LUNG,32480,$967.00 ,$483.50 
INSERT PLEURAL CATH,32550,"$1,798.00 ",$899.00 
INSERT PLEURAL CATH,32550,"$13,618.00 ","$6,809.00 "
INSERT PLEURAL CATH,32550,"$13,618.00 ","$6,809.00 "
INSERT PLEURAL CATH,32550,"$1,798.00 ",$899.00 
PF INSERTION CHEST TUBE,32551,$519.00 ,$259.50 
INSERTION OF CHEST TUBE,32551,"$4,517.00 ","$2,258.50 "
PF INSERTION CHEST TUBE,32551,$519.00 ,$259.50 
CT CHEST TUBE PERF RT,32551,"$4,517.00 ","$2,258.50 "
CT GUIDE CHEST TUBE LT,32551,"$1,644.00 ",$822.00 
U/S CHEST TUBE GUIDE LT,32551,"$1,811.00 ",$905.50 
CT CHEST TUBE PERF RT,32551,$519.00 ,$259.50 
CT GUIDE CHEST TUBE LT,32551,$265.00 ,$132.50 
INSERTION OF CHEST TUBE,32551,$519.00 ,$259.50 
THORACENTESIS FOR ASPIRATION,32554,$303.00 ,$151.50 
THORACENTESIS FOR ASPIRATION,32554,"$2,815.00 ","$1,407.50 "
THORACENTESIS W/O IMAGE,32554,"$2,815.00 ","$1,407.50 "
PF THORACENTES ASPIRATION W/O,32554,$303.00 ,$151.50 
THORACOCENTESIS W/TUBE INSERT,32554,"$2,815.00 ","$1,407.50 "
PF THORACOCENTESIS W/TUBE INS,32554,$303.00 ,$151.50 
ASPIRATE PLEURA W/IMAGIN,32555,"$2,815.00 ","$1,407.50 "
ASPIRATE PLEURA W/IMAGIN,32555,$381.00 ,$190.50 
CT THORACENTESIS PERF LT,32555,"$1,644.00 ",$822.00 
CT THORACENTESIS PERF RT,32555,"$1,644.00 ",$822.00 
US THORACENTESIS PERC LT,32555,"$2,815.00 ","$1,407.50 "
US THORACENTESIS PERC RT,32555,"$1,644.00 ",$822.00 
CT THORACENTESIS PERF LT,32555,$265.00 ,$132.50 
CT THORACENTESIS PERF RT,32555,$265.00 ,$132.50 
US THORACENTESIS PERC LT,32555,$265.00 ,$132.50 
US THORACENTESIS PERC RT,32555,$381.00 ,$190.50 
PLEUR DRAIN W/INSRT CATH W/,32556,$419.00 ,$209.50 
PLEUR DRAIN W/INSRT CATH W/,32556,"$1,644.00 ",$822.00 
PLEUR DRAIN W/INSRT CATH W/,32556,"$6,399.00 ","$3,199.50 "
PLUER DRAIN W/INSRT CATH W/,32556,$419.00 ,$209.50 
"THORACOSCOPY, DIAGNOSTIC",32601,"$13,976.00 ","$6,988.00 "
"THORACOSCOPY, DIAGNOSTIC",32601,"$1,021.00 ",$510.50 
THORACOSCOPY W/DX BIOPSIES,32607,"$7,200.00 ","$3,600.00 "
PF THORACOSCPY DX W/BX LUNG,32607,"$1,415.00 ",$707.50 
THORACOSCOPY W/BX PLEURA,32609,"$11,266.00 ","$5,633.00 "
PF THORACOSCPY DX W/BX PLEURA,32609,$895.00 ,$447.50 
THORACOSCOPY SURG W/PLEURODES,32650,"$3,069.00 ","$1,534.50 "
PF THORACOSCPY W/PLEURODESIS,32650,"$2,254.00 ","$1,127.00 "
"THORACOSCOPY, SURGICAL",32651,"$4,869.00 ","$2,434.50 "
"THORACOSCOPY, SURGICAL",32651,"$3,652.00 ","$1,826.00 "
"THORACOSCOPY, SURGICAL",32651,$730.00 ,$365.00 
THRASOCOPY REM TOTL CORTEX,32652,"$7,237.00 ","$3,618.50 "
THRASOCOPY REM TOTL CORTEX,32652,"$5,428.00 ","$2,714.00 "
THORACOSCOPY RMVL FB/FIBRIN,32653,"$4,691.00 ","$2,345.50 "
THORACOSCOPY RMVL FB/FIBRIN,32653,"$3,518.00 ","$1,759.00 "
THORACOSCOPY RESECT BULLAE,32655,"$3,082.00 ","$1,541.00 "
PF THORACOSCPY W/RESECT,32655,"$2,910.00 ","$1,455.00 "
THORACOSCOPY W/PLEURECTOMY,32656,"$3,603.00 ","$1,801.50 "
THORACOSCOPY W/PLEURECTOMY,32656,"$2,702.00 ","$1,351.00 "
THORACOSCOPY EXC MASS,32662,"$1,953.00 ",$976.50 
PF THORACOSCPY W/EXC MED TUMR,32662,"$3,598.00 ","$1,799.00 "
THORACOSCOPY W/TX WEDGE RESEC,32666,"$3,604.00 ","$1,802.00 "
PF THORACOSCPY W/TX WEDGE RES,32666,"$3,045.00 ","$1,522.50 "
PF THORACOSCPY W/TX WEDGE RES,32666,$609.00 ,$304.50 
THORACOSCOPY W/W RESECT ADDL,32667,$674.00 ,$337.00 
THORACOSCOPY W/W RESECT ADDL,32667,$505.00 ,$252.50 
THORACOSCOPY W/W RESECT DIAG,32668,$714.00 ,$357.00 
THORACOSCOPY W/W RESECT DIAG,32668,$535.00 ,$267.50 
THORACOSCOPY LYMPH NODE EXC,32674,$918.00 ,$459.00 
LAP REVISION PERM IP CATH,32674,$689.00 ,$344.50 
LAP REVISION PERM IP CATH,32674,$281.00 ,$140.50 
INSERTION OF HEART PACEMAKER,33207,"$23,436.00 ","$11,718.00 "
PF INSERTION HEART PACEMAKER,33207,"$2,072.00 ","$1,036.00 "
INSERTION OF HEART PACEMAKER,33208,"$32,006.00 ","$16,003.00 "
PF INSERTION HEART PACEMAKER,33208,"$2,114.00 ","$1,057.00 "
PF INSERTION HEART ELECTRODE,33210,$632.00 ,$316.00 
REPOSITION PACING-DEFIB LEAD,33215,"$1,048.00 ",$524.00 
REMV&REPLC PM GEN DUAL LEAD,33228,"$31,140.00 ","$15,570.00 "
PF REMV&REPLC PM GEN DUAL LEA,33228,$117.00 ,$58.50 
REMVL & REPLC PULSE GEN 1 LEA,33262,"$107,283.00 ","$53,641.50 "
REMVL & REPLC PULSE GEN 1 LEA,33262,"$1,275.00 ",$637.50 
INS/REP SUBQ DEFIBRILLATOR,33270,"$152,485.00 ","$76,242.50 "
INS/REP SUBQ DEFIBRILLATOR,33270,"$1,922.00 ",$961.00 
REP ANEURYSM -RAD/ULN ART,35045,"$19,600.00 ","$9,800.00 "
REP ANEURYSM -RAD/ULN ART,35045,"$3,225.00 ","$1,612.50 "
REPAIR BLD VESSEL DIRECT; LWR,35226,"$2,493.00 ","$1,246.50 "
PF REPAIR BLOOD VESSEL LESION,35226,"$3,340.00 ","$1,670.00 "
RPR BLD VSSL WVEIN GRFT;UPR E,35236,"$20,222.00 ","$10,111.00 "
RPR BLD VSSL WVEIN GRFT;UPR E,35236,"$3,280.00 ","$1,640.00 "
RECHANNELING OF ARTERY,35301,"$4,883.00 ","$2,441.50 "
PF RECHANNELING ARTERY,35301,"$3,850.00 ","$1,925.00 "
EXPLORE ABDOMINAL VESSELS,35840,"$5,258.00 ","$2,629.00 "
EXPLORE ABDOMINAL VESSELS,35840,"$3,943.00 ","$1,971.50 "
INTRO OF NEEDLE/CATH VEIN,36000,$44.00 ,$22.00 
INTRO OF NEEDLE/CATH VEIN,36000,$139.00 ,$69.50 
PLACE CATHETER IN VEIN,36010,"$3,061.00 ","$1,530.50 "
PF PLACE CATHETER IN VEIN,36010,$446.00 ,$223.00 
PF NS CATH - EXTREMITY ARTERY,36140,$340.00 ,$170.00 
NS CATH - EXTREMITY ARTERY,36140,$295.00 ,$147.50 
INSERTION OF IV INFUSION PUMP,36260,"$1,338.00 ",$669.00 
VENIPUNCTURE > AGE 3 REQ MD,36410,$36.00 ,$18.00 
VENIPUCTURE,36415,$9.00 ,$4.50 
ROUTINE VENIPUNCTURE,36415,$32.00 ,$16.00 
VENIPUNCTURE (EDI/VAN),36415,$36.00 ,$18.00 
TRANSFUS BLOOD/COMP,36430,"$1,633.00 ",$816.50 
"PROC RM-TRANSFUSION SERVICE,",36455,"$1,724.00 ",$862.00 
NJX NONCMPND SCLRSNT MLT VN,36466,"$7,157.00 ","$3,578.50 "
NJX NONCMPND SCLRSNT MLT VN,36466,"$4,631.00 ","$2,315.50 "
NJX SCLRSNT SPIDER VEINS,36468,$815.00 ,$407.50 
NJX SCLRSNT 1 INCPMTNT VEIN,36470,"$1,451.00 ",$725.50 
NJX SCLRSNT 1 INCPMTNT VEIN,36470,$202.00 ,$101.00 
NJX SCLRSNT MLTP INCMPTNT VN,36471,"$1,451.00 ",$725.50 
NJX SCLRSNT MLTP INCMPTNT VN,36471,$251.00 ,$125.50 
ENDOVENOUS MCHNCHEM 1ST VEIN,36473,"$4,143.00 ","$2,071.50 "
ENDOVENOUS RF 1ST VEIN,36475,"$9,494.00 ","$4,747.00 "
ENDOVENOUS RF 1ST VEIN,36475,"$1,178.00 ",$589.00 
ENDOVENOUS RF VEIN ADD-ON,36476,$591.00 ,$295.50 
ENDOVENOUS RF VEIN ADD-ON,36476,$443.00 ,$221.50 
ENDOVEN THER CHEM ADHS 1ST,36482,"$19,600.00 ","$9,800.00 "
ENDOVEN THER CHEM ADHS 1ST,36482,$571.00 ,$285.50 
INS NON-TNL CV CATH 5 YRS >,36556,"$4,517.00 ","$2,258.50 "
PF INS NON-TNL CV CATH 5 YRS,36556,$406.00 ,$203.00 
INSERT NON-TNL CVC >5YRS,36556,"$4,517.00 ","$2,258.50 "
PF INS NON-TNL CV CATH 5 YRS,36556,$406.00 ,$203.00 
INS NON-TNL CV CATH 5 YRS,36556,$406.00 ,$203.00 
PF INS TNL CV CATH W/O 5 YRS,36558,$658.00 ,$329.00 
INSERT TUN CVC W/O PORT >5YRS,36558,"$11,396.00 ","$5,698.00 "
PF INS TNL CV CATH W/O 5 YRS,36558,$658.00 ,$329.00 
INSERTION TUNNEL PORT OVER 5Y,36561,"$4,598.00 ","$2,299.00 "
PF INSERT TUNNEL PORT OVER 5Y,36561,"$1,176.00 ",$588.00 
INSERTION OF ACCESS PORT,36565,"$8,224.00 ","$4,112.00 "
PF INSERTION ACCESS PORT,36565,"$1,257.00 ",$628.50 
PF INSRT PICC W/O PORT 5>,36569,"$4,517.00 ","$2,258.50 "
INSERTION PICC LINC,36569,"$4,517.00 ","$2,258.50 "
PF INSRT PICC W/O PORT 5>,36569,$317.00 ,$158.50 
INSERTION CENTRAL VENOUS  CAT,36569,"$4,517.00 ","$2,258.50 "
PF INSRT PICC W/O PORT 5>,36569,$317.00 ,$158.50 
INSERTION PICC LINC,36569,"$3,017.00 ","$1,508.50 "
INS PICC AGE 5 YRS/>,36569,$317.00 ,$158.50 
PF INS PICC DEV W PORT 5 YRS/,36571,"$1,055.00 ",$527.50 
CENTRAL VENOUS WITH PORT 5YR,36571,"$6,844.00 ","$3,422.00 "
PF CENTRAL VENOUS W/ PORT 5YR,36571,"$1,055.00 ",$527.50 
PF CENTRAL VENOUS W/ PORT 5YR,36571,"$1,055.00 ",$527.50 
D/C PICC LINE,36578,"$10,278.00 ","$5,139.00 "
REPLACEMENT VENOUS CATH W/PUM,36578,$758.00 ,$379.00 
REPLACEMENT TUNNELED CVS,36581,"$3,839.00 ","$1,919.50 "
PF REPLACEMENT TUNNELED CVS,36581,$699.00 ,$349.50 
REPLACE TUNNELED CV CATH,36582,"$10,171.00 ","$5,085.50 "
REPLACE TUNNELED CV CATH,36582,"$1,050.00 ",$525.00 
PF RMVL TUNNELED CV CATH W/O,36589,$482.00 ,$241.00 
REMOVAL TUNNELED CV CATH W/O,36589,$902.00 ,$451.00 
REMOVALTUNNELED W/O PORT,36589,$902.00 ,$451.00 
PF RMVL TUNNELED CV CATH W/O,36589,$482.00 ,$241.00 
PF REM TUNNEL CVAD W PORT/PUM,36590,$638.00 ,$319.00 
REM TUNNELED CVAD W PORT/PUMP,36590,"$2,815.00 ","$1,407.50 "
REMOVAL TUNNELED CV CATH,36590,"$2,815.00 ","$1,407.50 "
REMOVALTUNNELED WITH PORT,36590,"$2,815.00 ","$1,407.50 "
PF REMOVALTUNNELED WITH PORT,36590,$638.00 ,$319.00 
COLLECT BLOOD PORT/ACCESS DVC,36591,$184.00 ,$92.00 
COLLCT BLD CENTRL/PERPH CATH,36592,$459.00 ,$229.50 
DECLOT VASCULAR DEVICE,36593,$816.00 ,$408.00 
REPOSITIONING OF CVC,36597,"$3,017.00 ","$1,508.50 "
PF REPOSITIONING CVC,36597,$297.00 ,$148.50 
CATH ARTERY UMBILICAL NWBRN,36600,$483.00 ,$241.50 
WITHDRAWAL OF ARTERIAL BLOOD,36600,$483.00 ,$241.50 
